generated_at,attestation_chain,status,method,bmkg_near_closure_id,source_station_id,source_station_name,station_method_class,method_classified,detail_page_display_found,detail_timestamp_iso,detail_value_ug_m3,detail_category_raw,station_page_bam_method_text_found,dashboard_status_raw,dashboard_timestamp_iso,dashboard_timestamp_age_hours,dashboard_current_status_confirmed,dashboard_delayed,source_level_grade_basis_available,source_level_daily_log_or_inspection_sources,source_level_periodic_calibration_rule_sources,source_level_calibration_service_sources,source_level_certificate_context_sources,station_unit_or_exact_context_sources,city_or_deployment_context_sources,exact_station_audit_calibration_sources,pm25_installation_deployment_sources,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,visible_evidence_gate_count,blocking_gate_count,near_closure_lane,reader_use,non_claim
2026-06-20T05:01:01Z,ai-first,computed_bmkg_near_closure_ledger,air_monitoring_bmkg_near_closure_ledger_v1,IDN-bmkg-near-closure-pm25_bjb2,pm25_bjb2,Banjarbaru,Beta Attenuation Monitoring (BAM),True,True,2026-06-19T21:00:00Z,33.8,Sedang,True,ONLINE,2026-06-20T00:00:00Z,2.33,True,False,True,3,2,2,2,0,0,0,0,False,False,False,False,False,6,5,current_method_visible_certificate_missing,"The station has current dashboard-status and method visibility, but no station-specific inspection, certificate, or calibration-status record.","This ledger synthesizes existing BMKG public evidence gates. It does not certify station-specific inspection logs, calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:01:01Z,ai-first,computed_bmkg_near_closure_ledger,air_monitoring_bmkg_near_closure_ledger_v1,IDN-bmkg-near-closure-pm25_btm2,pm25_btm2,Batam,Beta Attenuation Monitoring (BAM),True,True,2026-06-19T21:00:00Z,30,Sedang,True,ONLINE,2026-06-20T00:00:00Z,2.33,True,False,True,3,2,2,2,0,1,0,0,False,False,False,False,False,6,5,current_method_visible_certificate_missing,"The station has current dashboard-status and method visibility, but no station-specific inspection, certificate, or calibration-status record.","This ledger synthesizes existing BMKG public evidence gates. It does not certify station-specific inspection logs, calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:01:01Z,ai-first,computed_bmkg_near_closure_ledger,air_monitoring_bmkg_near_closure_ledger_v1,IDN-bmkg-near-closure-pm25_idp2,pm25_idp2,Indrapuri,Beta Attenuation Monitoring (BAM),True,True,2026-06-19T21:00:00Z,2,Baik,True,ONLINE,2026-06-20T00:00:00Z,2.33,True,False,True,3,2,2,2,0,1,0,0,False,False,False,False,False,6,5,current_method_visible_certificate_missing,"The station has current dashboard-status and method visibility, but no station-specific inspection, certificate, or calibration-status record.","This ledger synthesizes existing BMKG public evidence gates. It does not certify station-specific inspection logs, calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:01:01Z,ai-first,computed_bmkg_near_closure_ledger,air_monitoring_bmkg_near_closure_ledger_v1,IDN-bmkg-near-closure-pm25_jm3,pm25_jm3,Kota Jambi,Beta Attenuation Monitoring (BAM),True,True,2026-06-19T21:00:00Z,31.7,Sedang,True,ONLINE,2026-06-20T00:00:00Z,2.33,True,False,True,3,2,2,2,2,1,0,1,False,False,False,False,False,7,5,station_unit_context_certificate_missing,"Station-unit or exact public context exists, but it is not a certificate, inspection log, calibration-status record, or complete-grade closure.","This ledger synthesizes existing BMKG public evidence gates. It does not certify station-specific inspection logs, calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:01:01Z,ai-first,computed_bmkg_near_closure_ledger,air_monitoring_bmkg_near_closure_ledger_v1,IDN-bmkg-near-closure-pm25_jm4,pm25_jm4,Muaro Jambi,Beta Attenuation Monitoring (BAM),True,True,2026-06-19T21:00:00Z,45.2,Sedang,True,ONLINE,2026-06-20T00:00:00Z,2.33,True,False,True,3,2,2,2,0,0,0,0,False,False,False,False,False,6,5,current_method_visible_certificate_missing,"The station has current dashboard-status and method visibility, but no station-specific inspection, certificate, or calibration-status record.","This ledger synthesizes existing BMKG public evidence gates. It does not certify station-specific inspection logs, calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:01:01Z,ai-first,computed_bmkg_near_closure_ledger,air_monitoring_bmkg_near_closure_ledger_v1,IDN-bmkg-near-closure-pm25_kmy3,pm25_kmy3,Kemayoran,Beta Attenuation Monitoring (BAM),True,True,2026-06-19T21:00:00Z,75.9,Tidak Sehat,True,ONLINE,2026-06-20T00:00:00Z,2.33,True,False,True,3,2,2,2,0,1,0,0,False,False,False,False,False,6,5,current_method_visible_certificate_missing,"The station has current dashboard-status and method visibility, but no station-specific inspection, certificate, or calibration-status record.","This ledger synthesizes existing BMKG public evidence gates. It does not certify station-specific inspection logs, calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:01:01Z,ai-first,computed_bmkg_near_closure_ledger,air_monitoring_bmkg_near_closure_ledger_v1,IDN-bmkg-near-closure-pm25_ktb2,pm25_ktb2,Kototabang,Beta Attenuation Monitoring (BAM),True,True,2026-06-19T21:00:00Z,1.4,Baik,True,ONLINE,2026-06-20T00:00:00Z,2.33,True,False,True,3,2,2,2,2,0,1,0,False,False,False,False,False,7,5,nearest_exact_audit_context_certificate_missing,"Exact station audit/calibration context and current dashboard status are visible, but no station-specific PM2.5 certificate or calibration-status record is public.","This ledger synthesizes existing BMKG public evidence gates. It does not certify station-specific inspection logs, calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:01:01Z,ai-first,computed_bmkg_near_closure_ledger,air_monitoring_bmkg_near_closure_ledger_v1,IDN-bmkg-near-closure-pm25_mdn2,pm25_mdn2,Medan,Beta Attenuation Monitoring (BAM),True,True,2026-06-19T21:00:00Z,10.6,Baik,True,ONLINE,2026-06-20T00:00:00Z,2.33,True,False,True,3,2,2,2,0,0,0,0,False,False,False,False,False,6,5,current_method_visible_certificate_missing,"The station has current dashboard-status and method visibility, but no station-specific inspection, certificate, or calibration-status record.","This ledger synthesizes existing BMKG public evidence gates. It does not certify station-specific inspection logs, calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:01:01Z,ai-first,computed_bmkg_near_closure_ledger,air_monitoring_bmkg_near_closure_ledger_v1,IDN-bmkg-near-closure-pm25_mrs,pm25_mrs,Maros,Beta Attenuation Monitoring (BAM),True,True,2026-06-19T21:00:00Z,12.8,Baik,True,ONLINE,2026-06-20T00:00:00Z,2.33,True,False,True,3,2,2,2,0,0,0,0,False,False,False,False,False,6,5,current_method_visible_certificate_missing,"The station has current dashboard-status and method visibility, but no station-specific inspection, certificate, or calibration-status record.","This ledger synthesizes existing BMKG public evidence gates. It does not certify station-specific inspection logs, calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:01:01Z,ai-first,computed_bmkg_near_closure_ledger,air_monitoring_bmkg_near_closure_ledger_v1,IDN-bmkg-near-closure-pm25_msg,pm25_msg,Pesawaran,Beta Attenuation Monitoring (BAM),True,True,2026-06-19T21:00:00Z,65.7,Tidak Sehat,True,ONLINE,2026-06-20T00:00:00Z,2.33,True,False,True,3,2,2,2,0,0,0,0,False,False,False,False,False,6,5,current_method_visible_certificate_missing,"The station has current dashboard-status and method visibility, but no station-specific inspection, certificate, or calibration-status record.","This ledger synthesizes existing BMKG public evidence gates. It does not certify station-specific inspection logs, calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
