generated_at,attestation_chain,status,method,bmkg_ppid_access_route_scan_id,bmkg_near_closure_id,source_station_id,source_station_name,station_method_class,dashboard_status_raw,public_pm25_catalog_route_available,public_pm25_display_route_available,public_pm25_display_source_keys,source_level_calibration_service_route_available,source_level_certificate_request_context_available,raw_data_exclusion_context_available,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,current_status_confirmed_from_this_scan,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,access_route_decision,reader_use,non_claim
2026-06-20T07:43:18Z,ai-first,computed_bmkg_ppid_access_route_scan,air_monitoring_bmkg_ppid_access_route_scan_v1,IDN-bmkg-ppid-access-pm25_bjb2,IDN-bmkg-near-closure-pm25_bjb2,pm25_bjb2,Banjarbaru,Beta Attenuation Monitoring (BAM),ONLINE,True,True,bmkg_pm25_public_display_page,True,True,True,False,False,False,False,False,False,public_display_available_certificate_route_not_station_record,"The row appears on a public PM2.5 display and the PPID/PTSP stack exposes source-level calibration or certificate-request routes, but no public station-specific certificate/status record.","This scan classifies official BMKG PPID/PTSP access routes for PM2.5 monitoring and calibration/certificate context. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T07:43:18Z,ai-first,computed_bmkg_ppid_access_route_scan,air_monitoring_bmkg_ppid_access_route_scan_v1,IDN-bmkg-ppid-access-pm25_btm2,IDN-bmkg-near-closure-pm25_btm2,pm25_btm2,Batam,Beta Attenuation Monitoring (BAM),ONLINE,True,True,bmkg_pm25_public_display_page,True,True,True,False,False,False,False,False,False,public_display_available_certificate_route_not_station_record,"The row appears on a public PM2.5 display and the PPID/PTSP stack exposes source-level calibration or certificate-request routes, but no public station-specific certificate/status record.","This scan classifies official BMKG PPID/PTSP access routes for PM2.5 monitoring and calibration/certificate context. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T07:43:18Z,ai-first,computed_bmkg_ppid_access_route_scan,air_monitoring_bmkg_ppid_access_route_scan_v1,IDN-bmkg-ppid-access-pm25_idp2,IDN-bmkg-near-closure-pm25_idp2,pm25_idp2,Indrapuri,Beta Attenuation Monitoring (BAM),ONLINE,True,True,bmkg_pm25_public_display_page,True,True,True,False,False,False,False,False,False,public_display_available_certificate_route_not_station_record,"The row appears on a public PM2.5 display and the PPID/PTSP stack exposes source-level calibration or certificate-request routes, but no public station-specific certificate/status record.","This scan classifies official BMKG PPID/PTSP access routes for PM2.5 monitoring and calibration/certificate context. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T07:43:18Z,ai-first,computed_bmkg_ppid_access_route_scan,air_monitoring_bmkg_ppid_access_route_scan_v1,IDN-bmkg-ppid-access-pm25_jm3,IDN-bmkg-near-closure-pm25_jm3,pm25_jm3,Kota Jambi,Beta Attenuation Monitoring (BAM),ONLINE,True,True,bmkg_pm25_public_display_page,True,True,True,False,False,False,False,False,False,public_display_available_certificate_route_not_station_record,"The row appears on a public PM2.5 display and the PPID/PTSP stack exposes source-level calibration or certificate-request routes, but no public station-specific certificate/status record.","This scan classifies official BMKG PPID/PTSP access routes for PM2.5 monitoring and calibration/certificate context. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T07:43:18Z,ai-first,computed_bmkg_ppid_access_route_scan,air_monitoring_bmkg_ppid_access_route_scan_v1,IDN-bmkg-ppid-access-pm25_jm4,IDN-bmkg-near-closure-pm25_jm4,pm25_jm4,Muaro Jambi,Beta Attenuation Monitoring (BAM),ONLINE,True,True,bmkg_pm25_public_display_page,True,True,True,False,False,False,False,False,False,public_display_available_certificate_route_not_station_record,"The row appears on a public PM2.5 display and the PPID/PTSP stack exposes source-level calibration or certificate-request routes, but no public station-specific certificate/status record.","This scan classifies official BMKG PPID/PTSP access routes for PM2.5 monitoring and calibration/certificate context. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T07:43:18Z,ai-first,computed_bmkg_ppid_access_route_scan,air_monitoring_bmkg_ppid_access_route_scan_v1,IDN-bmkg-ppid-access-pm25_kmy3,IDN-bmkg-near-closure-pm25_kmy3,pm25_kmy3,Kemayoran,Beta Attenuation Monitoring (BAM),ONLINE,True,True,bmkg_pm25_public_display_page,True,True,True,False,False,False,False,False,False,public_display_available_certificate_route_not_station_record,"The row appears on a public PM2.5 display and the PPID/PTSP stack exposes source-level calibration or certificate-request routes, but no public station-specific certificate/status record.","This scan classifies official BMKG PPID/PTSP access routes for PM2.5 monitoring and calibration/certificate context. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T07:43:18Z,ai-first,computed_bmkg_ppid_access_route_scan,air_monitoring_bmkg_ppid_access_route_scan_v1,IDN-bmkg-ppid-access-pm25_ktb2,IDN-bmkg-near-closure-pm25_ktb2,pm25_ktb2,Kototabang,Beta Attenuation Monitoring (BAM),ONLINE,True,True,bmkg_pm25_public_display_page,True,True,True,False,False,False,False,False,False,public_display_available_certificate_route_not_station_record,"The row appears on a public PM2.5 display and the PPID/PTSP stack exposes source-level calibration or certificate-request routes, but no public station-specific certificate/status record.","This scan classifies official BMKG PPID/PTSP access routes for PM2.5 monitoring and calibration/certificate context. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T07:43:18Z,ai-first,computed_bmkg_ppid_access_route_scan,air_monitoring_bmkg_ppid_access_route_scan_v1,IDN-bmkg-ppid-access-pm25_mdn2,IDN-bmkg-near-closure-pm25_mdn2,pm25_mdn2,Medan,Beta Attenuation Monitoring (BAM),ONLINE,True,True,bmkg_pm25_public_display_page,True,True,True,False,False,False,False,False,False,public_display_available_certificate_route_not_station_record,"The row appears on a public PM2.5 display and the PPID/PTSP stack exposes source-level calibration or certificate-request routes, but no public station-specific certificate/status record.","This scan classifies official BMKG PPID/PTSP access routes for PM2.5 monitoring and calibration/certificate context. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T07:43:18Z,ai-first,computed_bmkg_ppid_access_route_scan,air_monitoring_bmkg_ppid_access_route_scan_v1,IDN-bmkg-ppid-access-pm25_mrs,IDN-bmkg-near-closure-pm25_mrs,pm25_mrs,Maros,Beta Attenuation Monitoring (BAM),ONLINE,True,True,bmkg_pm25_public_display_page,True,True,True,False,False,False,False,False,False,public_display_available_certificate_route_not_station_record,"The row appears on a public PM2.5 display and the PPID/PTSP stack exposes source-level calibration or certificate-request routes, but no public station-specific certificate/status record.","This scan classifies official BMKG PPID/PTSP access routes for PM2.5 monitoring and calibration/certificate context. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T07:43:18Z,ai-first,computed_bmkg_ppid_access_route_scan,air_monitoring_bmkg_ppid_access_route_scan_v1,IDN-bmkg-ppid-access-pm25_msg,IDN-bmkg-near-closure-pm25_msg,pm25_msg,Pesawaran,Beta Attenuation Monitoring (BAM),ONLINE,True,True,bmkg_pm25_public_display_page,True,True,True,False,False,False,False,False,False,public_display_available_certificate_route_not_station_record,"The row appears on a public PM2.5 display and the PPID/PTSP stack exposes source-level calibration or certificate-request routes, but no public station-specific certificate/status record.","This scan classifies official BMKG PPID/PTSP access routes for PM2.5 monitoring and calibration/certificate context. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
