generated_at,attestation_chain,status,method,bmkg_certificate_status_scan_id,method_classification_audit_id,source_station_id,source_station_name,station_method_class,targeted_source_keys,targeted_source_roles,targeted_source_scopes,targeted_source_count,exact_station_maintenance_sources,exact_station_pm25_method_sources,exact_station_calibration_language_sources,exact_station_certificate_language_sources,source_level_inspection_or_service_routes_available,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,current_status_confirmed_from_this_scan,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,certificate_status_decision,reader_use,non_claim
2026-06-20T05:38:30Z,ai-first,computed_bmkg_certificate_status_targeted_source_scan,air_monitoring_bmkg_certificate_status_targeted_source_scan_v1,IDN-bmkg-certificate-status-pm25_bjb2,IDN-method-classification-pm25_bjb2,pm25_bjb2,Banjarbaru,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,3,False,False,False,False,False,False,no_targeted_certificate_status_source_found,The targeted certificate/status source family did not match this target row.,"This targeted scan records BMKG station-unit maintenance, audit, calibration-language, inspection-procedure, service, and public-information context found around the certificate/status gap. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:38:30Z,ai-first,computed_bmkg_certificate_status_targeted_source_scan,air_monitoring_bmkg_certificate_status_targeted_source_scan_v1,IDN-bmkg-certificate-status-pm25_btm2,IDN-method-classification-pm25_btm2,pm25_btm2,Batam,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,3,False,False,False,False,False,False,no_targeted_certificate_status_source_found,The targeted certificate/status source family did not match this target row.,"This targeted scan records BMKG station-unit maintenance, audit, calibration-language, inspection-procedure, service, and public-information context found around the certificate/status gap. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:38:30Z,ai-first,computed_bmkg_certificate_status_targeted_source_scan,air_monitoring_bmkg_certificate_status_targeted_source_scan_v1,IDN-bmkg-certificate-status-pm25_idp2,IDN-method-classification-pm25_idp2,pm25_idp2,Indrapuri,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,3,False,False,False,False,False,False,no_targeted_certificate_status_source_found,The targeted certificate/status source family did not match this target row.,"This targeted scan records BMKG station-unit maintenance, audit, calibration-language, inspection-procedure, service, and public-information context found around the certificate/status gap. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:38:30Z,ai-first,computed_bmkg_certificate_status_targeted_source_scan,air_monitoring_bmkg_certificate_status_targeted_source_scan_v1,IDN-bmkg-certificate-status-pm25_jm3,IDN-method-classification-pm25_jm3,pm25_jm3,Kota Jambi,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,3,False,False,False,False,False,False,no_targeted_certificate_status_source_found,The targeted certificate/status source family did not match this target row.,"This targeted scan records BMKG station-unit maintenance, audit, calibration-language, inspection-procedure, service, and public-information context found around the certificate/status gap. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:38:30Z,ai-first,computed_bmkg_certificate_status_targeted_source_scan,air_monitoring_bmkg_certificate_status_targeted_source_scan_v1,IDN-bmkg-certificate-status-pm25_jm4,IDN-method-classification-pm25_jm4,pm25_jm4,Muaro Jambi,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,3,False,False,False,False,False,False,no_targeted_certificate_status_source_found,The targeted certificate/status source family did not match this target row.,"This targeted scan records BMKG station-unit maintenance, audit, calibration-language, inspection-procedure, service, and public-information context found around the certificate/status gap. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:38:30Z,ai-first,computed_bmkg_certificate_status_targeted_source_scan,air_monitoring_bmkg_certificate_status_targeted_source_scan_v1,IDN-bmkg-certificate-status-pm25_kmy3,IDN-method-classification-pm25_kmy3,pm25_kmy3,Kemayoran,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,3,False,False,False,False,False,False,no_targeted_certificate_status_source_found,The targeted certificate/status source family did not match this target row.,"This targeted scan records BMKG station-unit maintenance, audit, calibration-language, inspection-procedure, service, and public-information context found around the certificate/status gap. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:38:30Z,ai-first,computed_bmkg_certificate_status_targeted_source_scan,air_monitoring_bmkg_certificate_status_targeted_source_scan_v1,IDN-bmkg-certificate-status-pm25_ktb2,IDN-method-classification-pm25_ktb2,pm25_ktb2,Kototabang,Beta Attenuation Monitoring (BAM),gaw_kototabang_maintenance_visit||bmkg_kototabang_wmo_audit_2019||gaw_kototabang_sbk2020,official_station_unit_maintenance_article||official_station_audit_context||official_station_unit_publication,exact_station_or_unit||exact_station_or_unit||exact_station_or_unit,3,2,3,3,1,3,False,False,False,False,False,False,exact_station_maintenance_calibration_context_no_certificate,"Exact station/unit context includes maintenance or calibration language, but no target PM2.5 certificate/status record.","This targeted scan records BMKG station-unit maintenance, audit, calibration-language, inspection-procedure, service, and public-information context found around the certificate/status gap. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:38:30Z,ai-first,computed_bmkg_certificate_status_targeted_source_scan,air_monitoring_bmkg_certificate_status_targeted_source_scan_v1,IDN-bmkg-certificate-status-pm25_mdn2,IDN-method-classification-pm25_mdn2,pm25_mdn2,Medan,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,3,False,False,False,False,False,False,no_targeted_certificate_status_source_found,The targeted certificate/status source family did not match this target row.,"This targeted scan records BMKG station-unit maintenance, audit, calibration-language, inspection-procedure, service, and public-information context found around the certificate/status gap. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:38:30Z,ai-first,computed_bmkg_certificate_status_targeted_source_scan,air_monitoring_bmkg_certificate_status_targeted_source_scan_v1,IDN-bmkg-certificate-status-pm25_mrs,IDN-method-classification-pm25_mrs,pm25_mrs,Maros,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,3,False,False,False,False,False,False,no_targeted_certificate_status_source_found,The targeted certificate/status source family did not match this target row.,"This targeted scan records BMKG station-unit maintenance, audit, calibration-language, inspection-procedure, service, and public-information context found around the certificate/status gap. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T05:38:30Z,ai-first,computed_bmkg_certificate_status_targeted_source_scan,air_monitoring_bmkg_certificate_status_targeted_source_scan_v1,IDN-bmkg-certificate-status-pm25_msg,IDN-method-classification-pm25_msg,pm25_msg,Pesawaran,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,3,False,False,False,False,False,False,no_targeted_certificate_status_source_found,The targeted certificate/status source family did not match this target row.,"This targeted scan records BMKG station-unit maintenance, audit, calibration-language, inspection-procedure, service, and public-information context found around the certificate/status gap. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
