generated_at,attestation_chain,status,method,station_review_id,station_review_lane,station_review_priority,iso3,iso2,country,source_name,source_url,source_station_id,source_station_name,source_station_type,source_rows_reviewed,method_or_standard_source_rows,official_context_source_rows,caution_source_rows,source_keys,source_urls_reviewed,matched_method_terms,matched_caution_terms,source_validation_decisions,station_review_question,minimum_station_evidence,current_status_confirmed,station_method_classified,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,reader_use,non_claim
2026-06-19T09:45:12Z,ai-first,computed_station_review_queue,air_monitoring_monitor_grade_station_review_queue_v1,LKA-caution_blocks_grade-LKA_AUTOMATED_1,caution_blocks_grade,priority_1_caution_or_under_test,LKA,LK,Sri Lanka,Air Quality Monitoring,https://www.cea.lk/web/en/air-quality,LKA_AUTOMATED_1,Battaramulla,automated ambient station,2,1,0,1,cea_air_quality|cea_aqi_guideline,https://www.cea.lk/web/en/air-quality|https://www.cea.lk/web/images/pdf/airqulity/AQI-SL_Calculation_Guideline_CEA.LK_V1.0.pdf,automated ambient air quality monitoring stations|national siting criteria|AQMS|US EPA|National Ambient Air Quality Standards|AQI-SL,sensor-based|under test run,keep_not_grade_ready|standard_context_found_keep_not_complete,Does the station row refer to a sensor or under-test unit that must stay outside monitor-grade classification?,Promotion requires public evidence that the specific row is not a sensor/under-test feed and has current station-level method evidence.,False,False,False,False,Use as a blocker row. Caution language prevents grade promotion.,"This station-review queue projects source-level monitor-grade clues onto station rows. It does not certify station-grade status, does not validate same-station joins, and does not make station-radius coverage ready."
2026-06-19T09:45:12Z,ai-first,computed_station_review_queue,air_monitoring_monitor_grade_station_review_queue_v1,LKA-caution_blocks_grade-LKA_AUTOMATED_2,caution_blocks_grade,priority_1_caution_or_under_test,LKA,LK,Sri Lanka,Air Quality Monitoring,https://www.cea.lk/web/en/air-quality,LKA_AUTOMATED_2,Kandy city,automated ambient station,2,1,0,1,cea_air_quality|cea_aqi_guideline,https://www.cea.lk/web/en/air-quality|https://www.cea.lk/web/images/pdf/airqulity/AQI-SL_Calculation_Guideline_CEA.LK_V1.0.pdf,automated ambient air quality monitoring stations|national siting criteria|AQMS|US EPA|National Ambient Air Quality Standards|AQI-SL,sensor-based|under test run,keep_not_grade_ready|standard_context_found_keep_not_complete,Does the station row refer to a sensor or under-test unit that must stay outside monitor-grade classification?,Promotion requires public evidence that the specific row is not a sensor/under-test feed and has current station-level method evidence.,False,False,False,False,Use as a blocker row. Caution language prevents grade promotion.,"This station-review queue projects source-level monitor-grade clues onto station rows. It does not certify station-grade status, does not validate same-station joins, and does not make station-radius coverage ready."
2026-06-19T09:45:12Z,ai-first,computed_station_review_queue,air_monitoring_monitor_grade_station_review_queue_v1,GEO-method_context_needs_station_confirmation-01005,method_context_needs_station_confirmation,priority_2_method_context_station_confirmation,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,01005,Tazakendi (working in test mode),air.gov.ge hourly station,2,1,1,0,nea_mestia_station|nea_network_assessment,https://nea.gov.ge/En/News/1287|https://nea.gov.ge/Ge/Download/File/1332,EU Directive|2008/50/EC|CAFE|measuring instruments,,official_context_found_keep_not_complete|standard_context_found_keep_not_complete,Can a public station-level or regulator source connect the method context to this exact station and current operating status?,"Promotion requires station-level method or instrument evidence, a current-status page, or a regulator/station-owner table naming this station row.",False,False,False,False,"Use as a station-level review lead. Source method context exists, but the station row is not classified.","This station-review queue projects source-level monitor-grade clues onto station rows. It does not certify station-grade status, does not validate same-station joins, and does not make station-radius coverage ready."
2026-06-19T09:45:12Z,ai-first,computed_station_review_queue,air_monitoring_monitor_grade_station_review_queue_v1,GEO-method_context_needs_station_confirmation-AGMS,method_context_needs_station_confirmation,priority_2_method_context_station_confirmation,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,AGMS,Tbilisi - Davit Agmashenebeli Ave. № 73a,air.gov.ge hourly station,2,1,1,0,nea_mestia_station|nea_network_assessment,https://nea.gov.ge/En/News/1287|https://nea.gov.ge/Ge/Download/File/1332,EU Directive|2008/50/EC|CAFE|measuring instruments,,official_context_found_keep_not_complete|standard_context_found_keep_not_complete,Can a public station-level or regulator source connect the method context to this exact station and current operating status?,"Promotion requires station-level method or instrument evidence, a current-status page, or a regulator/station-owner table naming this station row.",False,False,False,False,"Use as a station-level review lead. Source method context exists, but the station row is not classified.","This station-review queue projects source-level monitor-grade clues onto station rows. It does not certify station-grade status, does not validate same-station joins, and does not make station-radius coverage ready."
2026-06-19T09:45:12Z,ai-first,computed_station_review_queue,air_monitoring_monitor_grade_station_review_queue_v1,GEO-method_context_needs_station_confirmation-BTUM,method_context_needs_station_confirmation,priority_2_method_context_station_confirmation,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,BTUM,Batumi - T. Abuseridze Street №1,air.gov.ge hourly station,2,1,1,0,nea_mestia_station|nea_network_assessment,https://nea.gov.ge/En/News/1287|https://nea.gov.ge/Ge/Download/File/1332,EU Directive|2008/50/EC|CAFE|measuring instruments,,official_context_found_keep_not_complete|standard_context_found_keep_not_complete,Can a public station-level or regulator source connect the method context to this exact station and current operating status?,"Promotion requires station-level method or instrument evidence, a current-status page, or a regulator/station-owner table naming this station row.",False,False,False,False,"Use as a station-level review lead. Source method context exists, but the station row is not classified.","This station-review queue projects source-level monitor-grade clues onto station rows. It does not certify station-grade status, does not validate same-station joins, and does not make station-radius coverage ready."
2026-06-19T09:45:12Z,ai-first,computed_station_review_queue,air_monitoring_monitor_grade_station_review_queue_v1,GEO-method_context_needs_station_confirmation-KUTS,method_context_needs_station_confirmation,priority_2_method_context_station_confirmation,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,KUTS,Kutaisi - Lado Asatiani St.№98,air.gov.ge hourly station,2,1,1,0,nea_mestia_station|nea_network_assessment,https://nea.gov.ge/En/News/1287|https://nea.gov.ge/Ge/Download/File/1332,EU Directive|2008/50/EC|CAFE|measuring instruments,,official_context_found_keep_not_complete|standard_context_found_keep_not_complete,Can a public station-level or regulator source connect the method context to this exact station and current operating status?,"Promotion requires station-level method or instrument evidence, a current-status page, or a regulator/station-owner table naming this station row.",False,False,False,False,"Use as a station-level review lead. Source method context exists, but the station row is not classified.","This station-review queue projects source-level monitor-grade clues onto station rows. It does not certify station-grade status, does not validate same-station joins, and does not make station-radius coverage ready."
2026-06-19T09:45:12Z,ai-first,computed_station_review_queue,air_monitoring_monitor_grade_station_review_queue_v1,GEO-method_context_needs_station_confirmation-KZBG,method_context_needs_station_confirmation,priority_2_method_context_station_confirmation,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,KZBG,Tbilisi - Kazbegi Ave. near Vaso Godziashvili Garden,air.gov.ge hourly station,2,1,1,0,nea_mestia_station|nea_network_assessment,https://nea.gov.ge/En/News/1287|https://nea.gov.ge/Ge/Download/File/1332,EU Directive|2008/50/EC|CAFE|measuring instruments,,official_context_found_keep_not_complete|standard_context_found_keep_not_complete,Can a public station-level or regulator source connect the method context to this exact station and current operating status?,"Promotion requires station-level method or instrument evidence, a current-status page, or a regulator/station-owner table naming this station row.",False,False,False,False,"Use as a station-level review lead. Source method context exists, but the station row is not classified.","This station-review queue projects source-level monitor-grade clues onto station rows. It does not certify station-grade status, does not validate same-station joins, and does not make station-radius coverage ready."
2026-06-19T09:45:12Z,ai-first,computed_station_review_queue,air_monitoring_monitor_grade_station_review_queue_v1,GEO-method_context_needs_station_confirmation-ORN01,method_context_needs_station_confirmation,priority_2_method_context_station_confirmation,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,ORN01,Tbilisi - Marshal Gelovani Avenue №34,air.gov.ge hourly station,2,1,1,0,nea_mestia_station|nea_network_assessment,https://nea.gov.ge/En/News/1287|https://nea.gov.ge/Ge/Download/File/1332,EU Directive|2008/50/EC|CAFE|measuring instruments,,official_context_found_keep_not_complete|standard_context_found_keep_not_complete,Can a public station-level or regulator source connect the method context to this exact station and current operating status?,"Promotion requires station-level method or instrument evidence, a current-status page, or a regulator/station-owner table naming this station row.",False,False,False,False,"Use as a station-level review lead. Source method context exists, but the station row is not classified.","This station-review queue projects source-level monitor-grade clues onto station rows. It does not certify station-grade status, does not validate same-station joins, and does not make station-radius coverage ready."
2026-06-19T09:45:12Z,ai-first,computed_station_review_queue,air_monitoring_monitor_grade_station_review_queue_v1,GEO-method_context_needs_station_confirmation-ORN02,method_context_needs_station_confirmation,priority_2_method_context_station_confirmation,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,ORN02,Rustavi - Friendship Ave. №35a,air.gov.ge hourly station,2,1,1,0,nea_mestia_station|nea_network_assessment,https://nea.gov.ge/En/News/1287|https://nea.gov.ge/Ge/Download/File/1332,EU Directive|2008/50/EC|CAFE|measuring instruments,,official_context_found_keep_not_complete|standard_context_found_keep_not_complete,Can a public station-level or regulator source connect the method context to this exact station and current operating status?,"Promotion requires station-level method or instrument evidence, a current-status page, or a regulator/station-owner table naming this station row.",False,False,False,False,"Use as a station-level review lead. Source method context exists, but the station row is not classified.","This station-review queue projects source-level monitor-grade clues onto station rows. It does not certify station-grade status, does not validate same-station joins, and does not make station-radius coverage ready."
2026-06-19T09:45:12Z,ai-first,computed_station_review_queue,air_monitoring_monitor_grade_station_review_queue_v1,GEO-method_context_needs_station_confirmation-ORN03,method_context_needs_station_confirmation,priority_2_method_context_station_confirmation,GEO,GE,Georgia,Modern ambient air quality monitoring station opened in Mestia,https://nea.gov.ge/En/News/1287,ORN03,"Batumi - Batumi Central Park, 6 May Park",air.gov.ge hourly station,2,1,1,0,nea_mestia_station|nea_network_assessment,https://nea.gov.ge/En/News/1287|https://nea.gov.ge/Ge/Download/File/1332,EU Directive|2008/50/EC|CAFE|measuring instruments,,official_context_found_keep_not_complete|standard_context_found_keep_not_complete,Can a public station-level or regulator source connect the method context to this exact station and current operating status?,"Promotion requires station-level method or instrument evidence, a current-status page, or a regulator/station-owner table naming this station row.",False,False,False,False,"Use as a station-level review lead. Source method context exists, but the station row is not classified.","This station-review queue projects source-level monitor-grade clues onto station rows. It does not certify station-grade status, does not validate same-station joins, and does not make station-radius coverage ready."
