generated_at,attestation_chain,status,method,method_evidence_id,iso3,country,source_station_id,source_station_name,source_station_type,api_station_found,api_station_name,api_alias,api_region_id,api_station_category,api_is_horiba,api_si,api_station_level_horiba_marker,api_method_marker_terms,api_reading_date_raw,api_reading_date_iso,api_reading_age_days,api_reading_age_lane,api_reading_within_7_days,api_reading_within_30_days,api_reading_within_90_days,api_pm25_value_raw,api_pm25_value_status,api_pollutants_listed,api_pollutant_count,current_api_presence_confirmed,current_status_confirmed,station_method_classified,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,review_decision,reader_use,non_claim
2026-06-19T10:33:19Z,ai-first,computed_uzbekistan_station_current_method_scan,air_monitoring_uzbekistan_station_current_method_scan_v1,UZB-row_level_instrument_hint-107,UZB,Uzbekistan,107,Атмосфера ҳавоси мониторинги автоматлаштирилган станцияси,automatic HORIBA marker,True,Атмосфера ҳавоси мониторинги автоматлаштирилган станцияси,avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha,1726,"Uzgidromet, Yunusabad district (reference point: Observation site, observatory)",True,,True,is_horiba|source_station_type=HORIBA,05.05.2026,2026-05-05,45,within_90_days,False,False,True,0.001,positive_raw_value,PM2.5; PM10; SO2; CO; NO2; NO; NH3; O3,8,True,False,False,False,False,api_row_present_but_reading_date_not_current_keep_open,"Use as station-presence evidence with a stale-reading caution. The API still names the station and HORIBA marker, but the reading date is not current-status proof.","This scan checks public Uzhydromet API station rows for station presence, HORIBA markers, reading-date age, and raw-value sanity. It does not certify current operating status, reference-grade method, monitor-grade classification, or station-radius coverage readiness."
2026-06-19T10:33:19Z,ai-first,computed_uzbekistan_station_current_method_scan,air_monitoring_uzbekistan_station_current_method_scan_v1,UZB-row_level_instrument_hint-108,UZB,Uzbekistan,108,Атмосфера ҳавоси мониторинги автоматлаштирилган станцияси,automatic HORIBA marker,True,Атмосфера ҳавоси мониторинги автоматлаштирилган станцияси,avtomaticheskaja-ctantsija-monitoringa-atmosfernogo-vozduha,1726,"Uzgidromet, Yunusabad district (reference point: Observation site, observatory)",True,horiba,True,is_horiba|Si=horiba|source_station_type=HORIBA,06.03.2023,2023-03-06,1201,older_than_365_days,False,False,False,-0.001,negative_raw_value,PM2.5; PM10; SO2; CO; NO2; NO; NH3; O3,8,True,False,False,False,False,api_row_present_but_reading_date_not_current_keep_open,"Use as station-presence evidence with a stale-reading caution. The API still names the station and HORIBA marker, but the reading date is not current-status proof.","This scan checks public Uzhydromet API station rows for station presence, HORIBA markers, reading-date age, and raw-value sanity. It does not certify current operating status, reference-grade method, monitor-grade classification, or station-radius coverage readiness."
2026-06-19T10:33:19Z,ai-first,computed_uzbekistan_station_current_method_scan,air_monitoring_uzbekistan_station_current_method_scan_v1,UZB-row_level_instrument_hint-714,UZB,Uzbekistan,714,Автоматическая станция мониторинга атмосферного воздуха (Beta),automatic HORIBA marker,True,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1724,"г.Гулистан, махалля",True,horiba,True,is_horiba|Si=horiba|source_station_type=HORIBA,06.03.2023,2023-03-06,1201,older_than_365_days,False,False,False,0.005,positive_raw_value,PM2.5; PM10; SO2; CO; NO2; NO; NH3; O3,8,True,False,False,False,False,api_row_present_but_reading_date_not_current_keep_open,"Use as station-presence evidence with a stale-reading caution. The API still names the station and HORIBA marker, but the reading date is not current-status proof.","This scan checks public Uzhydromet API station rows for station presence, HORIBA markers, reading-date age, and raw-value sanity. It does not certify current operating status, reference-grade method, monitor-grade classification, or station-radius coverage readiness."
2026-06-19T10:33:19Z,ai-first,computed_uzbekistan_station_current_method_scan,air_monitoring_uzbekistan_station_current_method_scan_v1,UZB-row_level_instrument_hint-715,UZB,Uzbekistan,715,Автоматическая станция мониторинга атмосферного воздуха (Beta),automatic HORIBA marker,True,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1708,"г.Джизак, махалля",True,horiba,True,is_horiba|Si=horiba|source_station_type=HORIBA,06.03.2023,2023-03-06,1201,older_than_365_days,False,False,False,-9999,sentinel_minus_9999,PM2.5; PM10; SO2; CO; NO2; NO; NH3; O3,8,True,False,False,False,False,api_row_present_but_reading_date_not_current_keep_open,"Use as station-presence evidence with a stale-reading caution. The API still names the station and HORIBA marker, but the reading date is not current-status proof.","This scan checks public Uzhydromet API station rows for station presence, HORIBA markers, reading-date age, and raw-value sanity. It does not certify current operating status, reference-grade method, monitor-grade classification, or station-radius coverage readiness."
2026-06-19T10:33:19Z,ai-first,computed_uzbekistan_station_current_method_scan,air_monitoring_uzbekistan_station_current_method_scan_v1,UZB-row_level_instrument_hint-716,UZB,Uzbekistan,716,Автоматическая станция мониторинга атмосферного воздуха (Beta),automatic HORIBA marker,True,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1718,"г.Самарканд, Университетский бульвар, 17. Международный университет туризма и культурного наследия.",True,horiba,True,is_horiba|Si=horiba|source_station_type=HORIBA,06.03.2023,2023-03-06,1201,older_than_365_days,False,False,False,-0.004,negative_raw_value,PM2.5; PM10; SO2; CO; NO2; NO; NH3; O3,8,True,False,False,False,False,api_row_present_but_reading_date_not_current_keep_open,"Use as station-presence evidence with a stale-reading caution. The API still names the station and HORIBA marker, but the reading date is not current-status proof.","This scan checks public Uzhydromet API station rows for station presence, HORIBA markers, reading-date age, and raw-value sanity. It does not certify current operating status, reference-grade method, monitor-grade classification, or station-radius coverage readiness."
2026-06-19T10:33:19Z,ai-first,computed_uzbekistan_station_current_method_scan,air_monitoring_uzbekistan_station_current_method_scan_v1,UZB-row_level_instrument_hint-717,UZB,Uzbekistan,717,Автоматическая станция мониторинга атмосферного воздуха (Beta),automatic HORIBA marker,True,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1722,"г.Термез, ул. Ат -Термизий. Дворец искусств.",True,horiba,True,is_horiba|Si=horiba|source_station_type=HORIBA,06.03.2023,2023-03-06,1201,older_than_365_days,False,False,False,0.003,positive_raw_value,PM2.5; PM10; SO2; CO; NO2; NO; NH3; O3,8,True,False,False,False,False,api_row_present_but_reading_date_not_current_keep_open,"Use as station-presence evidence with a stale-reading caution. The API still names the station and HORIBA marker, but the reading date is not current-status proof.","This scan checks public Uzhydromet API station rows for station presence, HORIBA markers, reading-date age, and raw-value sanity. It does not certify current operating status, reference-grade method, monitor-grade classification, or station-radius coverage readiness."
2026-06-19T10:33:19Z,ai-first,computed_uzbekistan_station_current_method_scan,air_monitoring_uzbekistan_station_current_method_scan_v1,UZB-row_level_instrument_hint-718,UZB,Uzbekistan,718,Автоматическая станция мониторинга атмосферного воздуха (Beta),automatic HORIBA marker,True,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1735,"Республика Каракалпакстан, г.Нукус, ул. Алмазар, дом 223. Университет Бердаха.",True,horiba,True,is_horiba|Si=horiba|source_station_type=HORIBA,06.03.2023,2023-03-06,1201,older_than_365_days,False,False,False,0.006,positive_raw_value,PM2.5; PM10; SO2; CO; NO2; NO; NH3; O3,8,True,False,False,False,False,api_row_present_but_reading_date_not_current_keep_open,"Use as station-presence evidence with a stale-reading caution. The API still names the station and HORIBA marker, but the reading date is not current-status proof.","This scan checks public Uzhydromet API station rows for station presence, HORIBA markers, reading-date age, and raw-value sanity. It does not certify current operating status, reference-grade method, monitor-grade classification, or station-radius coverage readiness."
2026-06-19T10:33:19Z,ai-first,computed_uzbekistan_station_current_method_scan,air_monitoring_uzbekistan_station_current_method_scan_v1,UZB-row_level_instrument_hint-719,UZB,Uzbekistan,719,Автоматическая станция мониторинга атмосферного воздуха (Beta),automatic HORIBA marker,True,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1733,"г.Ургенч, ул. Ж. Мангуберды, дом 2. Хорезмское управление по гидрометеорологии.",True,horiba,True,is_horiba|Si=horiba|source_station_type=HORIBA,06.03.2023,2023-03-06,1201,older_than_365_days,False,False,False,0.005,positive_raw_value,PM2.5; PM10; SO2; CO; NO2; NO; NH3; O3,8,True,False,False,False,False,api_row_present_but_reading_date_not_current_keep_open,"Use as station-presence evidence with a stale-reading caution. The API still names the station and HORIBA marker, but the reading date is not current-status proof.","This scan checks public Uzhydromet API station rows for station presence, HORIBA markers, reading-date age, and raw-value sanity. It does not certify current operating status, reference-grade method, monitor-grade classification, or station-radius coverage readiness."
2026-06-19T10:33:19Z,ai-first,computed_uzbekistan_station_current_method_scan,air_monitoring_uzbekistan_station_current_method_scan_v1,UZB-row_level_instrument_hint-720,UZB,Uzbekistan,720,Автоматическая станция мониторинга атмосферного воздуха (Beta),automatic HORIBA marker,True,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1726,ТТЗ-4 массив,True,horiba,True,is_horiba|Si=horiba|source_station_type=HORIBA,25.02.2024,2024-02-25,845,older_than_365_days,False,False,False,-0.002,negative_raw_value,PM2.5; PM10; SO2; CO; NO2; NO; NH3; O3,8,True,False,False,False,False,api_row_present_but_reading_date_not_current_keep_open,"Use as station-presence evidence with a stale-reading caution. The API still names the station and HORIBA marker, but the reading date is not current-status proof.","This scan checks public Uzhydromet API station rows for station presence, HORIBA markers, reading-date age, and raw-value sanity. It does not certify current operating status, reference-grade method, monitor-grade classification, or station-radius coverage readiness."
2026-06-19T10:33:19Z,ai-first,computed_uzbekistan_station_current_method_scan,air_monitoring_uzbekistan_station_current_method_scan_v1,UZB-row_level_instrument_hint-721,UZB,Uzbekistan,721,Автоматическая станция мониторинга атмосферного воздуха (Beta),automatic HORIBA marker,True,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1710,Qarshi,True,horiba,True,is_horiba|Si=horiba|source_station_type=HORIBA,11.03.2024,2024-03-11,830,older_than_365_days,False,False,False,0.001,positive_raw_value,PM2.5; PM10; SO2; CO,4,True,False,False,False,False,api_row_present_but_reading_date_not_current_keep_open,"Use as station-presence evidence with a stale-reading caution. The API still names the station and HORIBA marker, but the reading date is not current-status proof.","This scan checks public Uzhydromet API station rows for station presence, HORIBA markers, reading-date age, and raw-value sanity. It does not certify current operating status, reference-grade method, monitor-grade classification, or station-radius coverage readiness."
