generated_at,attestation_chain,status,method,probe_key,route_key,source_name,report_type,export_type,probe_date,requested_url,retrieved_200,http_status,final_url,content_type,response_bytes,sha256,valid_payload,content_type_matches_expected,station_code_matches,all_target_station_codes,pm25_present,not_verified_label_present,verified_label_without_not_verified,xlsx_sheet_count,xlsx_target_station_sheet_count,server_error,current_status_confirmed,verified_report_closure_available,station_method_classified,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,report_frequency_decision,reader_use,non_claim
2026-06-20T00:33:56Z,ai-first,computed_georgia_report_frequency_matrix,air_monitoring_georgia_report_frequency_matrix_v1,daily_html::2026-06-19,daily_html,Georgia daily report HTML route,daily,html,2026-06-19,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2026-06-19&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,200,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2026-06-19&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,text/html; charset=utf-8,1252278,1dcfd6e0c5ce7afd5ace9aa7c2ef179062b4b68d7a3f3df1a6ef874c069d3c2a,True,True,15,False,True,True,False,0,0,False,False,False,False,False,False,daily_html_not_verified_keep_open,The report payload repeats the not-verified caution and stays outside closure.,"This scan tests official Georgia daily, monthly, and annual report routes plus XLSX/PDF exports. It does not certify any target station as verified, currently operating, station-method classified, complete monitor-grade, or station-radius ready."
2026-06-20T00:33:56Z,ai-first,computed_georgia_report_frequency_matrix,air_monitoring_georgia_report_frequency_matrix_v1,daily_html::2025-12-31,daily_html,Georgia daily report HTML route,daily,html,2025-12-31,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2025-12-31&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,200,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2025-12-31&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,text/html; charset=utf-8,1251974,9ce65be98b9a57834d814c1a4f8c1d4808efc3112fc7ecf1d1d80b46fce511f5,True,True,15,False,True,True,False,0,0,False,False,False,False,False,False,daily_html_not_verified_keep_open,The report payload repeats the not-verified caution and stays outside closure.,"This scan tests official Georgia daily, monthly, and annual report routes plus XLSX/PDF exports. It does not certify any target station as verified, currently operating, station-method classified, complete monitor-grade, or station-radius ready."
2026-06-20T00:33:56Z,ai-first,computed_georgia_report_frequency_matrix,air_monitoring_georgia_report_frequency_matrix_v1,daily_xlsx::2026-06-19,daily_xlsx,Georgia daily report XLSX export,daily,xlsx,2026-06-19,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2026-06-19&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=xlsx,True,200,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2026-06-19&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,31022,2870a7897cce8fa5b429983c561154cfa465069940157651ff82a25e72680c58,True,True,16,True,True,False,False,16,16,False,False,False,False,False,False,xlsx_station_sheets_without_verification_label,"The export carries station sheets and PM2.5 values, but no verification label.","This scan tests official Georgia daily, monthly, and annual report routes plus XLSX/PDF exports. It does not certify any target station as verified, currently operating, station-method classified, complete monitor-grade, or station-radius ready."
2026-06-20T00:33:56Z,ai-first,computed_georgia_report_frequency_matrix,air_monitoring_georgia_report_frequency_matrix_v1,daily_xlsx::2025-12-31,daily_xlsx,Georgia daily report XLSX export,daily,xlsx,2025-12-31,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2025-12-31&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=xlsx,True,200,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2025-12-31&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,30439,16df3fc12bb95cfe52b8a0f6fedabd12e475f7448e73b2a746c50fbe4869858b,True,True,16,True,True,False,False,16,16,False,False,False,False,False,False,xlsx_station_sheets_without_verification_label,"The export carries station sheets and PM2.5 values, but no verification label.","This scan tests official Georgia daily, monthly, and annual report routes plus XLSX/PDF exports. It does not certify any target station as verified, currently operating, station-method classified, complete monitor-grade, or station-radius ready."
2026-06-20T00:33:56Z,ai-first,computed_georgia_report_frequency_matrix,air_monitoring_georgia_report_frequency_matrix_v1,daily_pdf::2026-06-19,daily_pdf,Georgia daily report PDF export,daily,pdf,2026-06-19,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2026-06-19&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=pdf,True,200,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2026-06-19&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=pdf,application/pdf,237498,8a7ce4f6369c6bc8dfba4d76a3550d463a1801ffd51ef5a8e9ab4a99410245c3,True,True,15,False,True,True,False,0,0,False,False,False,False,False,False,daily_pdf_not_verified_keep_open,The report payload repeats the not-verified caution and stays outside closure.,"This scan tests official Georgia daily, monthly, and annual report routes plus XLSX/PDF exports. It does not certify any target station as verified, currently operating, station-method classified, complete monitor-grade, or station-radius ready."
2026-06-20T00:33:56Z,ai-first,computed_georgia_report_frequency_matrix,air_monitoring_georgia_report_frequency_matrix_v1,daily_pdf::2025-12-31,daily_pdf,Georgia daily report PDF export,daily,pdf,2025-12-31,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2025-12-31&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=pdf,True,200,https://air.gov.ge/en/reports_page?report_type=daily&date_from=2025-12-31&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=pdf,application/pdf,236755,8348c9bda917bce74d057cc6164bc7dd236e315978cecf49409eca6149111d3a,True,True,15,False,True,True,False,0,0,False,False,False,False,False,False,daily_pdf_not_verified_keep_open,The report payload repeats the not-verified caution and stays outside closure.,"This scan tests official Georgia daily, monthly, and annual report routes plus XLSX/PDF exports. It does not certify any target station as verified, currently operating, station-method classified, complete monitor-grade, or station-radius ready."
2026-06-20T00:33:56Z,ai-first,computed_georgia_report_frequency_matrix,air_monitoring_georgia_report_frequency_matrix_v1,monthly_html::2026-05,monthly_html,Georgia monthly report HTML route,monthly,html,2026-05,https://air.gov.ge/en/reports_page?report_type=monthly&date_from=2026-05&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,200,https://air.gov.ge/en/reports_page?report_type=monthly&date_from=2026-05&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,text/html; charset=utf-8,301601,ec49c14e290aacb770b338e274ce8843ed1628905f33bcb9051f0998f8326d6b,True,True,16,True,True,True,False,0,0,False,False,False,False,False,False,monthly_html_not_verified_keep_open,The report payload repeats the not-verified caution and stays outside closure.,"This scan tests official Georgia daily, monthly, and annual report routes plus XLSX/PDF exports. It does not certify any target station as verified, currently operating, station-method classified, complete monitor-grade, or station-radius ready."
2026-06-20T00:33:56Z,ai-first,computed_georgia_report_frequency_matrix,air_monitoring_georgia_report_frequency_matrix_v1,monthly_html::2025-12,monthly_html,Georgia monthly report HTML route,monthly,html,2025-12,https://air.gov.ge/en/reports_page?report_type=monthly&date_from=2025-12&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,200,https://air.gov.ge/en/reports_page?report_type=monthly&date_from=2025-12&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,text/html; charset=utf-8,292362,c71e464f71c1b14c5d5c2cc95506509d862ad95f6e686ae4eea3d0d22b07cbd5,True,True,16,True,True,True,False,0,0,False,False,False,False,False,False,monthly_html_not_verified_keep_open,The report payload repeats the not-verified caution and stays outside closure.,"This scan tests official Georgia daily, monthly, and annual report routes plus XLSX/PDF exports. It does not certify any target station as verified, currently operating, station-method classified, complete monitor-grade, or station-radius ready."
2026-06-20T00:33:56Z,ai-first,computed_georgia_report_frequency_matrix,air_monitoring_georgia_report_frequency_matrix_v1,monthly_xlsx::2026-05,monthly_xlsx,Georgia monthly report XLSX export,monthly,xlsx,2026-05,https://air.gov.ge/en/reports_page?report_type=monthly&date_from=2026-05&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=xlsx,True,200,https://air.gov.ge/en/reports_page?report_type=monthly&date_from=2026-05&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,34420,ff72eb6c1f200431f0bb77439bf872667d7c5675667141e7c323d2ba173f986e,True,True,16,True,True,False,False,16,16,False,False,False,False,False,False,xlsx_station_sheets_without_verification_label,"The export carries station sheets and PM2.5 values, but no verification label.","This scan tests official Georgia daily, monthly, and annual report routes plus XLSX/PDF exports. It does not certify any target station as verified, currently operating, station-method classified, complete monitor-grade, or station-radius ready."
2026-06-20T00:33:56Z,ai-first,computed_georgia_report_frequency_matrix,air_monitoring_georgia_report_frequency_matrix_v1,monthly_xlsx::2025-12,monthly_xlsx,Georgia monthly report XLSX export,monthly,xlsx,2025-12,https://air.gov.ge/en/reports_page?report_type=monthly&date_from=2025-12&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=xlsx,True,200,https://air.gov.ge/en/reports_page?report_type=monthly&date_from=2025-12&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT&export_type=xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,33932,e360becdaddb6a6e87b675f9f5034697fe724cf145bc5692a958f22b9eb5841b,True,True,16,True,True,False,False,16,16,False,False,False,False,False,False,xlsx_station_sheets_without_verification_label,"The export carries station sheets and PM2.5 values, but no verification label.","This scan tests official Georgia daily, monthly, and annual report routes plus XLSX/PDF exports. It does not certify any target station as verified, currently operating, station-method classified, complete monitor-grade, or station-radius ready."
