generated_at,attestation_chain,status,method,bmkg_regional_status_scan_id,source_station_id,source_station_name,matched_source_keys,matched_source_roles,source_url_count,exact_station_name_external_context,location_level_external_context,explicit_regional_status_online,status_source_key,status_source_url,status_timestamp_raw,status_timestamp_iso,status_recent_within_30_days,status_value_ug_m3,status_category_raw,source_latitude,source_longitude,public_information_cadence_context,service_tariff_context,historical_station_context,regulator_station_context,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,current_status_confirmed,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,regional_status_decision,reader_use,non_claim
2026-06-20T01:28:05Z,ai-first,computed_bmkg_regional_status_source_scan,air_monitoring_bmkg_regional_status_source_scan_v1,IDN-bmkg-regional-status-pm25_bjb2,pm25_bjb2,Banjarbaru,bmkg_kalsel_particulate_status||bmkg_kalsel_upt_profile,official_regional_station_status||official_regional_upt_profile,2,True,False,True,bmkg_kalsel_particulate_status,https://staklim-kalsel.bmkg.go.id/partikulat/,"20 Jun 2026, 08:00 WITA",2026-06-20T00:00:00Z,True,32.9,SEDANG,-3.475,114.856,True,True,False,False,False,False,False,True,False,False,regional_online_status_current_but_grade_still_blocked,"Use as station-specific current-status evidence from an official regional BMKG page. Do not use it as inspection, calibration, certificate, complete-grade, or radius evidence.","This scan records public BMKG regional, public-information, service, historical, and regulator context for the 22 BMKG PM2.5 rows. A regional source can close current-status only when it names an exact target station with explicit status text and a recent timestamp. It does not certify station-specific inspection logs, calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T01:28:05Z,ai-first,computed_bmkg_regional_status_source_scan,air_monitoring_bmkg_regional_status_source_scan_v1,IDN-bmkg-regional-status-pm25_btm2,pm25_btm2,Batam,,,0,False,False,False,,,,,False,,,,,True,True,False,False,False,False,False,False,False,False,no_regional_station_status_source_keep_blocked,No seeded regional or regulator source names this exact station with status evidence.,"This scan records public BMKG regional, public-information, service, historical, and regulator context for the 22 BMKG PM2.5 rows. A regional source can close current-status only when it names an exact target station with explicit status text and a recent timestamp. It does not certify station-specific inspection logs, calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T01:28:05Z,ai-first,computed_bmkg_regional_status_source_scan,air_monitoring_bmkg_regional_status_source_scan_v1,IDN-bmkg-regional-status-pm25_idp2,pm25_idp2,Indrapuri,,,0,False,False,False,,,,,False,,,,,True,True,False,False,False,False,False,False,False,False,no_regional_station_status_source_keep_blocked,No seeded regional or regulator source names this exact station with status evidence.,"This scan records public BMKG regional, public-information, service, historical, and regulator context for the 22 BMKG PM2.5 rows. A regional source can close current-status only when it names an exact target station with explicit status text and a recent timestamp. It does not certify station-specific inspection logs, calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T01:28:05Z,ai-first,computed_bmkg_regional_status_source_scan,air_monitoring_bmkg_regional_status_source_scan_v1,IDN-bmkg-regional-status-pm25_jm3,pm25_jm3,Kota Jambi,,,0,False,False,False,,,,,False,,,,,True,True,False,False,False,False,False,False,False,False,no_regional_station_status_source_keep_blocked,No seeded regional or regulator source names this exact station with status evidence.,"This scan records public BMKG regional, public-information, service, historical, and regulator context for the 22 BMKG PM2.5 rows. A regional source can close current-status only when it names an exact target station with explicit status text and a recent timestamp. It does not certify station-specific inspection logs, calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T01:28:05Z,ai-first,computed_bmkg_regional_status_source_scan,air_monitoring_bmkg_regional_status_source_scan_v1,IDN-bmkg-regional-status-pm25_jm4,pm25_jm4,Muaro Jambi,,,0,False,False,False,,,,,False,,,,,True,True,False,False,False,False,False,False,False,False,no_regional_station_status_source_keep_blocked,No seeded regional or regulator source names this exact station with status evidence.,"This scan records public BMKG regional, public-information, service, historical, and regulator context for the 22 BMKG PM2.5 rows. A regional source can close current-status only when it names an exact target station with explicit status text and a recent timestamp. It does not certify station-specific inspection logs, calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T01:28:05Z,ai-first,computed_bmkg_regional_status_source_scan,air_monitoring_bmkg_regional_status_source_scan_v1,IDN-bmkg-regional-status-pm25_kmy3,pm25_kmy3,Kemayoran,jakarta_dlh_air_quality_2024_bmkg_kemayoran,public_regulator_station_context,1,True,False,False,,,,,False,,,,,True,True,False,True,False,False,False,False,False,False,station_named_in_public_source_but_no_current_status_closure,"Use as exact station-name public context. It does not provide current-status, inspection, calibration, certificate, complete-grade, or radius closure.","This scan records public BMKG regional, public-information, service, historical, and regulator context for the 22 BMKG PM2.5 rows. A regional source can close current-status only when it names an exact target station with explicit status text and a recent timestamp. It does not certify station-specific inspection logs, calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T01:28:05Z,ai-first,computed_bmkg_regional_status_source_scan,air_monitoring_bmkg_regional_status_source_scan_v1,IDN-bmkg-regional-status-pm25_ktb2,pm25_ktb2,Kototabang,,,0,False,False,False,,,,,False,,,,,True,True,False,False,False,False,False,False,False,False,no_regional_station_status_source_keep_blocked,No seeded regional or regulator source names this exact station with status evidence.,"This scan records public BMKG regional, public-information, service, historical, and regulator context for the 22 BMKG PM2.5 rows. A regional source can close current-status only when it names an exact target station with explicit status text and a recent timestamp. It does not certify station-specific inspection logs, calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T01:28:05Z,ai-first,computed_bmkg_regional_status_source_scan,air_monitoring_bmkg_regional_status_source_scan_v1,IDN-bmkg-regional-status-pm25_mdn2,pm25_mdn2,Medan,,,0,False,False,False,,,,,False,,,,,True,True,False,False,False,False,False,False,False,False,no_regional_station_status_source_keep_blocked,No seeded regional or regulator source names this exact station with status evidence.,"This scan records public BMKG regional, public-information, service, historical, and regulator context for the 22 BMKG PM2.5 rows. A regional source can close current-status only when it names an exact target station with explicit status text and a recent timestamp. It does not certify station-specific inspection logs, calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T01:28:05Z,ai-first,computed_bmkg_regional_status_source_scan,air_monitoring_bmkg_regional_status_source_scan_v1,IDN-bmkg-regional-status-pm25_mrs,pm25_mrs,Maros,,,0,False,False,False,,,,,False,,,,,True,True,False,False,False,False,False,False,False,False,no_regional_station_status_source_keep_blocked,No seeded regional or regulator source names this exact station with status evidence.,"This scan records public BMKG regional, public-information, service, historical, and regulator context for the 22 BMKG PM2.5 rows. A regional source can close current-status only when it names an exact target station with explicit status text and a recent timestamp. It does not certify station-specific inspection logs, calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T01:28:05Z,ai-first,computed_bmkg_regional_status_source_scan,air_monitoring_bmkg_regional_status_source_scan_v1,IDN-bmkg-regional-status-pm25_msg,pm25_msg,Pesawaran,,,0,False,False,False,,,,,False,,,,,True,True,False,False,False,False,False,False,False,False,no_regional_station_status_source_keep_blocked,No seeded regional or regulator source names this exact station with status evidence.,"This scan records public BMKG regional, public-information, service, historical, and regulator context for the 22 BMKG PM2.5 rows. A regional source can close current-status only when it names an exact target station with explicit status text and a recent timestamp. It does not certify station-specific inspection logs, calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
