generated_at,attestation_chain,status,method,iso3,iso2,country,subregion,upgrade_queue_class,pm25_locations_in_committed_panel,pm25_exposure_ugm3,baseline_gap_top5,zero_public_monitor_above_guideline,top_positive_gdp_residual,query_status,openaq_location_id,openaq_location_name,openaq_country_code,openaq_country_name,latitude,longitude,station_coordinate_available,coordinate_quality_status,coordinate_in_target_country_bbox,owner_name,provider_name,owner_or_provider_available,monitor_grade_available,first_seen,first_seen_available,last_seen,last_seen_available,is_mobile,is_monitor,pm25_sensor_count,parameter_tokens,license_names,station_radius_coordinate_input_available,station_radius_analysis_ready,non_claim
2026-06-19T06:27:19Z,ai-first,computed,air_monitoring_openaq_station_metadata_fetch_v1,AFG,AF,Afghanistan,South Asia,baseline_top5_and_positive_gdp_residual,2,46.09,True,False,True,computed,8556,Kabul,AF,Afghanistan,34.554384,69.204597,True,target_country_bbox_match,True,Unknown Governmental Organization,AirNow,True,False,2019-10-28T19:30:00Z,True,2021-08-15T13:30:00Z,True,False,True,1,2;pm25,US Public Domain,True,False,"This public-source access pass queries OpenAQ v3 location metadata for the air-monitoring upgrade queue. It does not validate monitor grade, does not prove no monitor exists outside OpenAQ, does not create a regulatory inventory, and does not estimate station-radius population coverage."
2026-06-19T06:27:19Z,ai-first,computed,air_monitoring_openaq_station_metadata_fetch_v1,AFG,AF,Afghanistan,South Asia,baseline_top5_and_positive_gdp_residual,2,46.09,True,False,True,computed,10482,US Diplomatic Post: Kabul,AF,Afghanistan,34.535812,69.190514,True,target_country_bbox_match,True,Unknown Governmental Organization,StateAir Kabul,True,False,2019-10-20T23:00:00Z,True,2021-08-16T18:00:00Z,True,False,True,1,2;pm25,,True,False,"This public-source access pass queries OpenAQ v3 location metadata for the air-monitoring upgrade queue. It does not validate monitor grade, does not prove no monitor exists outside OpenAQ, does not create a regulatory inventory, and does not estimate station-radius population coverage."
2026-06-19T06:27:19Z,ai-first,computed,air_monitoring_openaq_station_metadata_fetch_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,20,42.38,True,False,True,computed,22,SPARTAN - Dhaka University,BD,Bangladesh,23.728,90.398,True,target_country_bbox_match,True,Unknown Governmental Organization,Spartan,True,False,,False,,False,False,True,1,2;pm25,,True,False,"This public-source access pass queries OpenAQ v3 location metadata for the air-monitoring upgrade queue. It does not validate monitor grade, does not prove no monitor exists outside OpenAQ, does not create a regulatory inventory, and does not estimate station-radius population coverage."
2026-06-19T06:27:19Z,ai-first,computed,air_monitoring_openaq_station_metadata_fetch_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,20,42.38,True,False,True,computed,2445,US Diplomatic Post: Dhaka,BD,Bangladesh,23.797687,90.423698,True,target_country_bbox_match,True,Unknown Governmental Organization,StateAir Dhaka,True,False,2016-03-10T22:00:00Z,True,2016-11-09T16:00:00Z,True,False,True,1,2;pm25,,True,False,"This public-source access pass queries OpenAQ v3 location metadata for the air-monitoring upgrade queue. It does not validate monitor grade, does not prove no monitor exists outside OpenAQ, does not create a regulatory inventory, and does not estimate station-radius population coverage."
2026-06-19T06:27:19Z,ai-first,computed,air_monitoring_openaq_station_metadata_fetch_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,20,42.38,True,False,True,computed,8415,Dhaka,BD,Bangladesh,23.796374,90.424614,True,target_country_bbox_match,True,Unknown Governmental Organization,AirNow,True,False,2016-11-09T18:00:00Z,True,2025-03-24T13:00:00Z,True,False,True,1,10;2;o3;o₃;pm25,US Public Domain,True,False,"This public-source access pass queries OpenAQ v3 location metadata for the air-monitoring upgrade queue. It does not validate monitor grade, does not prove no monitor exists outside OpenAQ, does not create a regulatory inventory, and does not estimate station-radius population coverage."
2026-06-19T06:27:19Z,ai-first,computed,air_monitoring_openaq_station_metadata_fetch_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,20,42.38,True,False,True,computed,1285342,SPARTAN - Dhaka University,BD,Bangladesh,23.7284,90.3982,True,target_country_bbox_match,True,Unknown Governmental Organization,SPARTAN Network,True,False,,False,,False,False,True,1,2;pm25,,True,False,"This public-source access pass queries OpenAQ v3 location metadata for the air-monitoring upgrade queue. It does not validate monitor grade, does not prove no monitor exists outside OpenAQ, does not create a regulatory inventory, and does not estimate station-radius population coverage."
2026-06-19T06:27:19Z,ai-first,computed,air_monitoring_openaq_station_metadata_fetch_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,20,42.38,True,False,True,computed,3194367,"Dept. of Public Health and Informatics, Jahangirnagar University",BD,Bangladesh,23.888280501941725,90.26536993068466,True,target_country_bbox_match,True,Unknown Person,AirGradient,True,False,2024-10-28T08:00:00Z,True,2026-05-21T10:00:00Z,True,False,False,1,1;100;125;19;2;98;pm03count;pm1;pm10;pm25;relativehumidity;rh;temperature;temperature(c);um003,CC BY 4.0,True,False,"This public-source access pass queries OpenAQ v3 location metadata for the air-monitoring upgrade queue. It does not validate monitor grade, does not prove no monitor exists outside OpenAQ, does not create a regulatory inventory, and does not estimate station-radius population coverage."
2026-06-19T06:27:19Z,ai-first,computed,air_monitoring_openaq_station_metadata_fetch_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,20,42.38,True,False,True,computed,5105944,smart air bangladesh office,BD,Bangladesh,23.780810956001233,90.42464769681916,True,target_country_bbox_match,True,AirGradient,AirGradient,True,False,2025-07-17T09:00:00Z,True,2025-10-22T05:00:00Z,True,False,False,1,125;19;2;pm03count;pm1;pm25;um003,CC BY 4.0,True,False,"This public-source access pass queries OpenAQ v3 location metadata for the air-monitoring upgrade queue. It does not validate monitor grade, does not prove no monitor exists outside OpenAQ, does not create a regulatory inventory, and does not estimate station-radius population coverage."
2026-06-19T06:27:19Z,ai-first,computed,air_monitoring_openaq_station_metadata_fetch_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,20,42.38,True,False,True,computed,6157905,"RAJUK Uttara Apartment Project, Sector - 18, Uttara",BD,Bangladesh,23.856237,90.356837,True,target_country_bbox_match,True,AirGradient,AirGradient,True,False,2025-12-09T11:00:00Z,True,2026-06-19T06:00:00Z,True,False,False,1,100;125;19;2;98;pm03count;pm1;pm25;relativehumidity;rh;temperature;temperature(c);um003,CC BY 4.0,True,False,"This public-source access pass queries OpenAQ v3 location metadata for the air-monitoring upgrade queue. It does not validate monitor grade, does not prove no monitor exists outside OpenAQ, does not create a regulatory inventory, and does not estimate station-radius population coverage."
2026-06-19T06:27:19Z,ai-first,computed,air_monitoring_openaq_station_metadata_fetch_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,20,42.38,True,False,True,computed,6219691,"Abdullahbag, North Badda",BD,Bangladesh,23.78935,90.43179,True,target_country_bbox_match,True,AirGradient,AirGradient,True,False,2026-01-29T07:00:00Z,True,2026-01-29T12:00:00Z,True,False,False,1,100;125;19;2;98;pm03count;pm1;pm25;relativehumidity;rh;temperature;temperature(c);um003,CC BY 4.0,True,False,"This public-source access pass queries OpenAQ v3 location metadata for the air-monitoring upgrade queue. It does not validate monitor grade, does not prove no monitor exists outside OpenAQ, does not create a regulatory inventory, and does not estimate station-radius population coverage."
