month,location,radius_km,reducer,scheduled_nights,paired_valid_nights,paired_coverage_share,monthly_ratio_median,monthly_ratio_mean,month_valid
2013-05,Aklan,25,mean,6,3,0.5,0.05882075588078449,0.13650125935997504,True
2013-05,Aklan,25,p75,6,3,0.5,0.05501145613407374,0.14636916352188664,True
2013-05,Aklan,50,mean,6,5,0.8333333333333334,0.10422194948926956,0.20784168852774715,True
2013-05,Aklan,50,p75,6,5,0.8333333333333334,0.2321976137664844,0.3060712904917088,True
2013-05,Aklan,75,mean,6,5,0.8333333333333334,0.14562299767134831,0.2470637364416916,True
2013-05,Aklan,75,p75,6,5,0.8333333333333334,0.3524230001207787,0.4186893053463311,True
2013-05,Capiz,25,mean,6,2,0.3333333333333333,0.2574463402426598,0.2574463402426598,True
2013-05,Capiz,25,p75,6,2,0.3333333333333333,0.24417070693908116,0.24417070693908116,True
2013-05,Capiz,50,mean,6,5,0.8333333333333334,0.11540381233016452,0.2675975455547574,True
2013-05,Capiz,50,p75,6,5,0.8333333333333334,0.23941592658165917,0.3922352901265396,True
2013-05,Capiz,75,mean,6,5,0.8333333333333334,0.18554077616692624,0.274929049660526,True
2013-05,Capiz,75,p75,6,5,0.8333333333333334,0.38442340531394337,0.4629279041995728,True
2013-05,Cebu,25,mean,6,2,0.3333333333333333,3.404984170872096,3.404984170872096,True
2013-05,Cebu,25,p75,6,2,0.3333333333333333,1.5097011127173126,1.5097011127173126,True
2013-05,Cebu,50,mean,6,5,0.8333333333333334,0.38549123127652124,0.5303923470522143,True
2013-05,Cebu,50,p75,6,5,0.8333333333333334,0.4351680378329179,0.4060987888645619,True
2013-05,Cebu,75,mean,6,5,0.8333333333333334,0.2799840743804316,0.42350889032563466,True
2013-05,Cebu,75,p75,6,5,0.8333333333333334,0.4015958720717174,0.5411445118218745,True
2013-05,Iloilo,25,mean,6,3,0.5,0.05946089655843914,0.18915594018237702,True
2013-05,Iloilo,25,p75,6,3,0.5,0.05111389384230229,0.25552578154821975,True
2013-05,Iloilo,50,mean,6,4,0.6666666666666666,0.1378565154482613,0.25294416341060605,True
2013-05,Iloilo,50,p75,6,4,0.6666666666666666,0.26450867696732766,0.3957985881529704,True
2013-05,Iloilo,75,mean,6,5,0.8333333333333334,0.22582575371002106,0.288867125397978,True
2013-05,Iloilo,75,p75,6,5,0.8333333333333334,0.41257367330751066,0.4901943541342531,True
2013-05,Leyte,25,mean,6,4,0.6666666666666666,0.2298837881049822,0.4087419185953172,True
2013-05,Leyte,25,p75,6,4,0.6666666666666666,0.2445764614433229,0.3093200813360927,True
2013-05,Leyte,50,mean,6,5,0.8333333333333334,0.3597760856327105,0.37452541484363594,True
2013-05,Leyte,50,p75,6,5,0.8333333333333334,0.4866244833578764,0.5068388297649163,True
2013-05,Leyte,75,mean,6,5,0.8333333333333334,0.17723661062159704,0.3150237434355358,True
2013-05,Leyte,75,p75,6,5,0.8333333333333334,0.3880905266073872,0.5513179953843923,True
2013-05,Palawan,25,mean,6,3,0.5,0.03275968349512097,0.09812576135941609,True
2013-05,Palawan,25,p75,6,3,0.5,0.03479170057316775,0.13034272437468428,True
2013-05,Palawan,50,mean,6,5,0.8333333333333334,0.15363899355687174,0.24400702260683227,True
