generated_at,attestation_chain,status,method,candidate_review_id,iso3,iso2,country,source_name,agency,source_station_id,source_station_name,nearest_openaq_location_id,nearest_openaq_location_name,nearest_openaq_distance_km,openaq_owner_name,openaq_provider_name,openaq_owner_or_provider_available,openaq_is_monitor,openaq_is_mobile,openaq_first_seen,openaq_first_seen_available,openaq_last_seen,openaq_last_seen_available,openaq_pm25_sensor_count,station_id_exact_overlap,official_agency_exact_in_openaq_owner_or_provider,explicit_crosswalk_evidence_found,candidate_public_evidence_lane,candidate_same_station_validated,station_radius_join_ready,reviewer_action,reader_use,non_claim
2026-06-19T08:21:49Z,ai-first,computed_public_evidence_attachment,air_monitoring_official_openaq_candidate_public_evidence_audit_v1,BGD-C-CAMS-25-22,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,Department of Environment,C-CAMS-25,"BUET, Dhaka",22,SPARTAN - Dhaka University,0.532,Unknown Governmental Organization,Spartan,True,True,False,,False,,False,1,False,False,False,openaq_monitor_metadata_no_crosswalk,False,False,Look for station-owner documentation that ties the OpenAQ row to the official station row.,"OpenAQ marks the nearby row as isMonitor, but no station-ID or agency crosswalk is present.","This audit attaches public OpenAQ owner, provider, isMonitor, and vintage metadata to official/OpenAQ candidate rows. It does not validate same-station joins, does not classify monitor grade, and does not make any row station-radius-ready."
2026-06-19T08:21:49Z,ai-first,computed_public_evidence_attachment,air_monitoring_official_openaq_candidate_public_evidence_audit_v1,BGD-C-CAMS-31-1285342,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,Department of Environment,C-CAMS-31,"Nagar Bhaban, DSCC, Dhaka",1285342,SPARTAN - Dhaka University,1.156,Unknown Governmental Organization,SPARTAN Network,True,True,False,,False,,False,1,False,False,False,openaq_monitor_metadata_no_crosswalk,False,False,Look for station-owner documentation that ties the OpenAQ row to the official station row.,"OpenAQ marks the nearby row as isMonitor, but no station-ID or agency crosswalk is present.","This audit attaches public OpenAQ owner, provider, isMonitor, and vintage metadata to official/OpenAQ candidate rows. It does not validate same-station joins, does not classify monitor grade, and does not make any row station-radius-ready."
2026-06-19T08:21:49Z,ai-first,computed_public_evidence_attachment,air_monitoring_official_openaq_candidate_public_evidence_audit_v1,BGD-CAMS-1-6251395,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,Department of Environment,CAMS-1,"DoE, Agargaon, Dhaka",6251395,"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",1.158,AirGradient,AirGradient,True,False,False,2026-02-24T18:00:00Z,True,2026-06-17T14:00:00Z,True,1,False,False,False,openaq_non_monitor_or_sensor_metadata_no_crosswalk,False,False,Treat as a nearby public-feed candidate until public evidence shows co-location or same-station status.,OpenAQ metadata is present but the row is not marked isMonitor and has no crosswalk signal.,"This audit attaches public OpenAQ owner, provider, isMonitor, and vintage metadata to official/OpenAQ candidate rows. It does not validate same-station joins, does not classify monitor grade, and does not make any row station-radius-ready."
2026-06-19T08:21:49Z,ai-first,computed_public_evidence_attachment,air_monitoring_official_openaq_candidate_public_evidence_audit_v1,BGD-CAMS-3-6251395,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,Department of Environment,CAMS-3,"Darus-Salam, Mirpur",6251395,"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",1.85,AirGradient,AirGradient,True,False,False,2026-02-24T18:00:00Z,True,2026-06-17T14:00:00Z,True,1,False,False,False,openaq_non_monitor_or_sensor_metadata_no_crosswalk,False,False,Treat as a nearby public-feed candidate until public evidence shows co-location or same-station status.,OpenAQ metadata is present but the row is not marked isMonitor and has no crosswalk signal.,"This audit attaches public OpenAQ owner, provider, isMonitor, and vintage metadata to official/OpenAQ candidate rows. It does not validate same-station joins, does not classify monitor grade, and does not make any row station-radius-ready."
2026-06-19T08:21:49Z,ai-first,computed_public_evidence_attachment,air_monitoring_official_openaq_candidate_public_evidence_audit_v1,IDN-pm25_pl3-6103913,IDN,ID,Indonesia,Konsentrasi Partikulat PM2.5,BMKG,pm25_pl3,Talang Betutu Palembang,6103913,SD Muhammadiyah 18 Palembang,2.372,Kopernik,AirGradient,True,False,False,2025-10-22T07:00:00Z,True,2026-06-15T17:00:00Z,True,1,False,False,False,openaq_non_monitor_or_sensor_metadata_no_crosswalk,False,False,Treat as a nearby public-feed candidate until public evidence shows co-location or same-station status.,OpenAQ metadata is present but the row is not marked isMonitor and has no crosswalk signal.,"This audit attaches public OpenAQ owner, provider, isMonitor, and vintage metadata to official/OpenAQ candidate rows. It does not validate same-station joins, does not classify monitor grade, and does not make any row station-radius-ready."
2026-06-19T08:21:49Z,ai-first,computed_public_evidence_attachment,air_monitoring_official_openaq_candidate_public_evidence_audit_v1,MYS-CA40C-4708034,MYS,MY,Malaysia,MyEQMS,Department of Environment,CA40C,"Indera Mahkota Kuantan, PAHANG",4708034,"Indera Mahkota 8, Pahang",1.367,AirGradient,AirGradient,True,False,False,2025-06-12T03:00:00Z,True,2025-08-27T04:00:00Z,True,1,False,False,False,openaq_non_monitor_or_sensor_metadata_no_crosswalk,False,False,Treat as a nearby public-feed candidate until public evidence shows co-location or same-station status.,OpenAQ metadata is present but the row is not marked isMonitor and has no crosswalk signal.,"This audit attaches public OpenAQ owner, provider, isMonitor, and vintage metadata to official/OpenAQ candidate rows. It does not validate same-station joins, does not classify monitor grade, and does not make any row station-radius-ready."
2026-06-19T08:21:49Z,ai-first,computed_public_evidence_attachment,air_monitoring_official_openaq_candidate_public_evidence_audit_v1,MYS-CA19B-3331918,MYS,MY,Malaysia,MyEQMS,Department of Environment,CA19B,"Petaling Jaya, SELANGOR",3331918,Taman Tun Dr. Ismail,2.379,Aizat Faiz,AirGradient,True,False,False,2024-12-23T07:00:00Z,True,2026-06-19T06:00:00Z,True,1,False,False,False,openaq_non_monitor_or_sensor_metadata_no_crosswalk,False,False,Treat as a nearby public-feed candidate until public evidence shows co-location or same-station status.,OpenAQ metadata is present but the row is not marked isMonitor and has no crosswalk signal.,"This audit attaches public OpenAQ owner, provider, isMonitor, and vintage metadata to official/OpenAQ candidate rows. It does not validate same-station joins, does not classify monitor grade, and does not make any row station-radius-ready."
2026-06-19T08:21:49Z,ai-first,computed_public_evidence_attachment,air_monitoring_official_openaq_candidate_public_evidence_audit_v1,MYS-CA16W-5894144,MYS,MY,Malaysia,MyEQMS,Department of Environment,CA16W,"Cheras, W.P. KUALA LUMPUR",5894144,Bukit Bintang,4.502,Clarity,Clarity,True,False,False,2025-09-24T04:09:40Z,True,2026-06-19T03:00:50Z,True,1,False,False,False,openaq_non_monitor_or_sensor_metadata_no_crosswalk,False,False,Treat as a nearby public-feed candidate until public evidence shows co-location or same-station status.,OpenAQ metadata is present but the row is not marked isMonitor and has no crosswalk signal.,"This audit attaches public OpenAQ owner, provider, isMonitor, and vintage metadata to official/OpenAQ candidate rows. It does not validate same-station joins, does not classify monitor grade, and does not make any row station-radius-ready."
2026-06-19T08:21:49Z,ai-first,computed_public_evidence_attachment,air_monitoring_official_openaq_candidate_public_evidence_audit_v1,UZB-22-8881,UZB,UZ,Uzbekistan,Interactive map of atmospheric air quality,Uzhydromet,22,РОР №12 - Tashkent,8881,US Diplomatic Post: Tashkent,2.064,Unknown Governmental Organization,StateAir Tashkent,True,True,False,2018-11-27T22:00:00Z,True,2025-03-04T12:00:00Z,True,1,False,False,False,openaq_monitor_metadata_no_crosswalk,False,False,Look for station-owner documentation that ties the OpenAQ row to the official station row.,"OpenAQ marks the nearby row as isMonitor, but no station-ID or agency crosswalk is present.","This audit attaches public OpenAQ owner, provider, isMonitor, and vintage metadata to official/OpenAQ candidate rows. It does not validate same-station joins, does not classify monitor grade, and does not make any row station-radius-ready."
2026-06-19T08:21:49Z,ai-first,computed_public_evidence_attachment,air_monitoring_official_openaq_candidate_public_evidence_audit_v1,UZB-27-4902926,UZB,UZ,Uzbekistan,Interactive map of atmospheric air quality,Uzhydromet,27,РОР №23 - Tashkent,4902926,Sputnik-4,2.373,AirGradient,AirGradient,True,False,False,2025-06-29T19:00:00Z,True,2026-01-19T17:00:00Z,True,1,False,False,False,openaq_non_monitor_or_sensor_metadata_no_crosswalk,False,False,Treat as a nearby public-feed candidate until public evidence shows co-location or same-station status.,OpenAQ metadata is present but the row is not marked isMonitor and has no crosswalk signal.,"This audit attaches public OpenAQ owner, provider, isMonitor, and vintage metadata to official/OpenAQ candidate rows. It does not validate same-station joins, does not classify monitor grade, and does not make any row station-radius-ready."
