iso3,country,cpi_inflation_pct,cpi_year,ag_imports_pct_merch,ag_year,food_production_index,food_price_vulnerability
BTN,Bhutan,2.76131569624097,2024,2.89771523343481,2023,77.75,2.4
MMR,Myanmar,8.82506696804558,2019,0.543522629263886,2024,76.96,1.4
WSM,Samoa,2.17245530514377,2024,2.30715980394132,2024,83.05,1.4
KIR,Kiribati,2.45545072159028,2024,2.29882138739868,2021,97.32,0.7
TON,Tonga,3.230563002681,2024,1.72084578435904,2023,97.78,0.7
MDV,Maldives,1.39979779674928,2024,1.34971319988324,2024,94.49,0.3
SLB,Solomon Islands,4.32183948388033,2024,0.690509845092173,2018,100.49,0.3
MYS,Malaysia,1.834100204499,2024,1.54518194343355,2024,102.8,0.2
PHL,Philippines,3.21260487006347,2024,0.554009441120343,2024,100.51,0.2
THA,Thailand,1.36580540798037,2024,1.31456589645742,2024,104.2,0.1
TLS,Timor-Leste,2.06284153005468,2024,0.832579681263799,2023,101.69,0.1
LKA,Sri Lanka,-0.42936004906973,2024,1.88516325701979,2024,99.24,-0.1
AFG,Afghanistan,-6.60118564073725,2024,1.76945971582721,2019,111.43,-0.0
ARM,Armenia,0.269511978259125,2024,0.696914598695895,2024,83.87,0.0
AZE,Azerbaijan,2.21217188919901,2024,1.3653443730014,2024,129.02,0.0
BGD,Bangladesh,10.4657482763412,2024,6.03484299147945,2018,125.2,0.0
BRN,Brunei Darussalam,-0.38867416503646,2024,0.0534647034378044,2024,119.3,-0.0
KHM,Cambodia,0.808042016536654,2024,2.97032761293108,2024,123.74,0.0
CHN,China,0.218128938439177,2024,2.65554162830592,2024,111.75,0.0
COK,Cook Islands,,,,,,
FJI,Fiji,3.89084237884105,2024,0.356029566222083,2024,139.65,0.0
GEO,Georgia,1.10971758022096,2024,0.820897679650684,2024,113.64,0.0
HKG,Hong Kong SAR,1.72972119105914,2024,0.0913335982064106,2024,141.66,0.0
IND,India,4.95303550973656,2024,1.53605200655945,2024,127.82,0.0
IDN,Indonesia,2.18151273615189,2024,2.00572472129639,2024,117.14,0.0
KAZ,Kazakhstan,8.69082156104494,2024,0.652593664193636,2024,127.76,0.0
KGZ,Kyrgyzstan,4.99760701207323,2024,0.472382754979747,2024,112.75,0.0
LAO,Lao PDR,23.1305695942588,2024,4.57200173262801,2023,114.84,0.0
MHL,Marshall Islands,,,,,90.84,
FSM,Micronesia,5.40874375479067,2022,,,121.63,
MNG,Mongolia,6.1977990165842,2024,0.427672549448203,2023,157.87,0.0
NRU,Nauru,,,,,99.71,
NPL,Nepal,4.6850965426577,2024,1.29279766517618,2022,123.18,0.0
PAK,Pakistan,12.6325318530452,2024,4.33946657692159,2024,122.43,0.0
PLW,Palau,2.23172772921704,2024,1.69551004982248,2018,,
PNG,Papua New Guinea,0.602403921107917,2024,0.510558309393381,2023,100.55,0.0
TWN,Taiwan,,,,,,
TJK,Tajikistan,,,4.12170589324958,2023,150.12,
TKM,Turkmenistan,,,,,112.03,
TUV,Tuvalu,,,,,110.82,
UZB,Uzbekistan,9.62825465956682,2024,1.89377211216791,2024,114.43,0.0
VUT,Vanuatu,11.1825017088175,2023,,,82.96,
VNM,Viet Nam,3.62109273885843,2024,2.5155735307542,2023,113.65,0.0
