generated_at,attestation_chain,status,method,iso3,country,subregion,upgrade_queue_class,zero_public_monitor_above_guideline,baseline_gap_top5,top_positive_gdp_residual,openaq_coordinate_rows,official_coordinate_rows,official_pm25_coordinate_rows,near_plus_name_candidate_rows,near_only_candidate_rows,name_overlap_not_near_candidate_rows,validated_same_station_join_rows,complete_monitor_grade_rows,boundary_reference_files_available,gridded_population_denominator_files,gridded_pm25_denominator_files,declared_radius_method_ready,deduplication_rule_ready,station_radius_denominator_ready,station_radius_join_ready,station_radius_grade_ready,station_radius_analysis_ready,readiness_lane,reader_use,non_claim
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,AFG,Afghanistan,South Asia,baseline_top5_and_positive_gdp_residual,False,True,True,2,0,0,0,0,0,0,0,2,0,0,False,False,False,False,False,False,blocked_denominator_missing_after_coordinates,"Coordinate rows exist, but gridded population/PM2.5 denominator files and a declared radius method are absent.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,BGD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,False,True,True,22,31,31,4,1,2,0,0,2,0,0,False,False,False,False,False,False,blocked_denominator_missing_after_coordinates,"Coordinate rows exist, but gridded population/PM2.5 denominator files and a declared radius method are absent.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,MMR,Myanmar,Southeast Asia,baseline_top5_and_positive_gdp_residual,False,True,True,3,0,0,0,0,0,0,0,2,0,0,False,False,False,False,False,False,blocked_denominator_missing_after_coordinates,"Coordinate rows exist, but gridded population/PM2.5 denominator files and a declared radius method are absent.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,UZB,Uzbekistan,Central and West Asia,baseline_top5_and_positive_gdp_residual,False,True,True,4,93,40,5,5,8,0,0,2,0,0,False,False,False,False,False,False,blocked_denominator_missing_after_coordinates,"Coordinate rows exist, but gridded population/PM2.5 denominator files and a declared radius method are absent.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,TJK,Tajikistan,Central and West Asia,baseline_top5_monitor_metadata,False,True,False,7,0,0,0,0,0,0,0,2,0,0,False,False,False,False,False,False,blocked_denominator_missing_after_coordinates,"Coordinate rows exist, but gridded population/PM2.5 denominator files and a declared radius method are absent.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,AZE,Azerbaijan,Central and West Asia,positive_gdp_residual_monitor_metadata,False,False,True,2,0,0,0,0,0,0,0,2,0,0,False,False,False,False,False,False,blocked_denominator_missing_after_coordinates,"Coordinate rows exist, but gridded population/PM2.5 denominator files and a declared radius method are absent.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,GEO,Georgia,Central and West Asia,positive_gdp_residual_monitor_metadata,False,False,True,2,16,16,0,0,0,0,0,2,0,0,False,False,False,False,False,False,blocked_denominator_missing_after_coordinates,"Coordinate rows exist, but gridded population/PM2.5 denominator files and a declared radius method are absent.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,IDN,Indonesia,Southeast Asia,positive_gdp_residual_monitor_metadata,False,False,True,36,22,22,1,1,1,0,0,2,0,0,False,False,False,False,False,False,blocked_denominator_missing_after_coordinates,"Coordinate rows exist, but gridded population/PM2.5 denominator files and a declared radius method are absent.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,LKA,Sri Lanka,South Asia,positive_gdp_residual_monitor_metadata,False,False,True,3,0,0,0,0,0,0,0,2,0,0,False,False,False,False,False,False,blocked_denominator_missing_after_coordinates,"Coordinate rows exist, but gridded population/PM2.5 denominator files and a declared radius method are absent.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,MYS,Malaysia,Southeast Asia,positive_gdp_residual_monitor_metadata,False,False,True,18,68,67,3,2,11,0,0,2,0,0,False,False,False,False,False,False,blocked_denominator_missing_after_coordinates,"Coordinate rows exist, but gridded population/PM2.5 denominator files and a declared radius method are absent.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,TKM,Turkmenistan,Central and West Asia,positive_gdp_residual_monitor_metadata,False,False,True,2,0,0,0,0,0,0,0,2,0,0,False,False,False,False,False,False,blocked_denominator_missing_after_coordinates,"Coordinate rows exist, but gridded population/PM2.5 denominator files and a declared radius method are absent.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,BRN,Brunei Darussalam,Southeast Asia,zero_public_monitor_above_guideline,True,False,False,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,False,False,blocked_no_station_coordinates_or_denominators,"No committed station-coordinate input exists for this economy and no gridded denominator file is committed, so it cannot enter a radius map.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,FJI,Fiji,The Pacific,zero_public_monitor_above_guideline,True,False,False,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,False,False,blocked_no_station_coordinates_or_denominators,"No committed station-coordinate input exists for this economy and no gridded denominator file is committed, so it cannot enter a radius map.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
2026-06-20T08:02:55Z,ai-first,computed_station_radius_denominator_readiness,air_monitoring_station_radius_denominator_readiness_v1,FSM,"Micronesia, Federated States of",The Pacific,zero_public_monitor_above_guideline,True,False,False,0,0,0,0,0,0,0,0,2,0,0,False,False,False,False,False,False,blocked_no_station_coordinates_or_denominators,"No committed station-coordinate input exists for this economy and no gridded denominator file is committed, so it cannot enter a radius map.","This readiness wall inventories coordinate, boundary, denominator, crosswalk, and grade inputs for possible future station-radius analysis. It does not compute catchment population, PM2.5 exposure inside a radius, monitor coverage, same-station OpenAQ joins, or complete monitor-grade classification."
