generated_at,attestation_chain,status,method,network_launch_scan_id,method_classification_audit_id,source_station_id,source_station_name,target_city,public_source_context_available,launch_source_context,current_network_city_context,city_level_standard_equipment_context,pm25_pollutant_context,station_code_in_source,station_name_or_address_context,verified_report_closure_available,current_status_confirmed,station_method_classified,calibration_status_available,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,matched_source_keys,matched_launch_source_keys,matched_current_source_keys,matched_method_source_keys,network_launch_decision,reader_use,non_claim
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-01005,GEO-method-classification-01005,01005,Tazakendi (working in test mode),Tazakendi,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,no_station_owner_context_found_keep_open,"The seeded NEA source family does not name this target station city, station code, or address term.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-AGMS,GEO-method-classification-AGMS,AGMS,Tbilisi - Davit Agmashenebeli Ave. № 73a,Tbilisi,True,True,True,True,True,False,False,False,False,False,False,False,False,nea_network_expansion_2026||nea_tbilisi_station_2023||nea_akhaltsikhe_launch_2024||nea_batumi_launch_2024||nea_kutaisi_launch_2024||nea_zugdidi_launch_2024||nea_telavi_launch_2024||nea_mestia_launch_2024,nea_tbilisi_station_2023||nea_akhaltsikhe_launch_2024||nea_batumi_launch_2024||nea_kutaisi_launch_2024||nea_zugdidi_launch_2024||nea_telavi_launch_2024||nea_mestia_launch_2024,nea_network_expansion_2026,nea_network_expansion_2026||nea_tbilisi_station_2023||nea_akhaltsikhe_launch_2024||nea_batumi_launch_2024||nea_kutaisi_launch_2024||nea_zugdidi_launch_2024||nea_telavi_launch_2024||nea_mestia_launch_2024,city_launch_current_network_method_context_keep_open,"Official NEA sources support launch/current network and method context at the city or network level, but not station-code status or grade closure.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-BTUM,GEO-method-classification-BTUM,BTUM,Batumi - T. Abuseridze Street №1,Batumi,True,True,True,True,True,False,False,False,False,False,False,False,False,nea_network_expansion_2026||nea_batumi_launch_2024,nea_batumi_launch_2024,nea_network_expansion_2026,nea_network_expansion_2026||nea_batumi_launch_2024,city_launch_current_network_method_context_keep_open,"Official NEA sources support launch/current network and method context at the city or network level, but not station-code status or grade closure.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-KUTS,GEO-method-classification-KUTS,KUTS,Kutaisi - Lado Asatiani St.№98,Kutaisi,True,True,True,True,True,False,False,False,False,False,False,False,False,nea_network_expansion_2026||nea_kutaisi_launch_2024,nea_kutaisi_launch_2024,nea_network_expansion_2026,nea_network_expansion_2026||nea_kutaisi_launch_2024,city_launch_current_network_method_context_keep_open,"Official NEA sources support launch/current network and method context at the city or network level, but not station-code status or grade closure.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-KZBG,GEO-method-classification-KZBG,KZBG,Tbilisi - Kazbegi Ave. near Vaso Godziashvili Garden,Tbilisi,True,True,True,True,True,False,False,False,False,False,False,False,False,nea_network_expansion_2026||nea_tbilisi_station_2023||nea_akhaltsikhe_launch_2024||nea_batumi_launch_2024||nea_kutaisi_launch_2024||nea_zugdidi_launch_2024||nea_telavi_launch_2024||nea_mestia_launch_2024,nea_tbilisi_station_2023||nea_akhaltsikhe_launch_2024||nea_batumi_launch_2024||nea_kutaisi_launch_2024||nea_zugdidi_launch_2024||nea_telavi_launch_2024||nea_mestia_launch_2024,nea_network_expansion_2026,nea_network_expansion_2026||nea_tbilisi_station_2023||nea_akhaltsikhe_launch_2024||nea_batumi_launch_2024||nea_kutaisi_launch_2024||nea_zugdidi_launch_2024||nea_telavi_launch_2024||nea_mestia_launch_2024,city_launch_current_network_method_context_keep_open,"Official NEA sources support launch/current network and method context at the city or network level, but not station-code status or grade closure.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-ORN01,GEO-method-classification-ORN01,ORN01,Tbilisi - Marshal Gelovani Avenue №34,Tbilisi,True,True,True,True,True,False,False,False,False,False,False,False,False,nea_network_expansion_2026||nea_tbilisi_station_2023||nea_akhaltsikhe_launch_2024||nea_batumi_launch_2024||nea_kutaisi_launch_2024||nea_zugdidi_launch_2024||nea_telavi_launch_2024||nea_mestia_launch_2024,nea_tbilisi_station_2023||nea_akhaltsikhe_launch_2024||nea_batumi_launch_2024||nea_kutaisi_launch_2024||nea_zugdidi_launch_2024||nea_telavi_launch_2024||nea_mestia_launch_2024,nea_network_expansion_2026,nea_network_expansion_2026||nea_tbilisi_station_2023||nea_akhaltsikhe_launch_2024||nea_batumi_launch_2024||nea_kutaisi_launch_2024||nea_zugdidi_launch_2024||nea_telavi_launch_2024||nea_mestia_launch_2024,city_launch_current_network_method_context_keep_open,"Official NEA sources support launch/current network and method context at the city or network level, but not station-code status or grade closure.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-ORN02,GEO-method-classification-ORN02,ORN02,Rustavi - Friendship Ave. №35a,Rustavi,True,False,True,True,True,False,False,False,False,False,False,False,False,nea_network_expansion_2026,,nea_network_expansion_2026,nea_network_expansion_2026,current_network_city_context_without_station_code,"A current network page names the city, but the evidence is not station-code specific.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-ORN03,GEO-method-classification-ORN03,ORN03,"Batumi - Batumi Central Park, 6 May Park",Batumi,True,True,True,True,True,False,False,False,False,False,False,False,False,nea_network_expansion_2026||nea_batumi_launch_2024,nea_batumi_launch_2024,nea_network_expansion_2026,nea_network_expansion_2026||nea_batumi_launch_2024,city_launch_current_network_method_context_keep_open,"Official NEA sources support launch/current network and method context at the city or network level, but not station-code status or grade closure.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-ORN04,GEO-method-classification-ORN04,ORN04,Kutaisi-Ninoshvili Street and D.Aghmashenebeli Ave.,Kutaisi,True,True,True,True,True,False,False,False,False,False,False,False,False,nea_network_expansion_2026||nea_kutaisi_launch_2024,nea_kutaisi_launch_2024,nea_network_expansion_2026,nea_network_expansion_2026||nea_kutaisi_launch_2024,city_launch_current_network_method_context_keep_open,"Official NEA sources support launch/current network and method context at the city or network level, but not station-code status or grade closure.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-ORN05,GEO-method-classification-ORN05,ORN05,Zugdidi - Rustaveli Street №192,Zugdidi,True,True,True,True,True,False,False,False,False,False,False,False,False,nea_network_expansion_2026||nea_batumi_launch_2024||nea_zugdidi_launch_2024,nea_batumi_launch_2024||nea_zugdidi_launch_2024,nea_network_expansion_2026,nea_network_expansion_2026||nea_batumi_launch_2024||nea_zugdidi_launch_2024,city_launch_current_network_method_context_keep_open,"Official NEA sources support launch/current network and method context at the city or network level, but not station-code status or grade closure.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-ORN06,GEO-method-classification-ORN06,ORN06,Mestia town,Mestia,True,True,True,True,True,False,False,False,False,False,False,False,False,nea_network_expansion_2026||nea_batumi_launch_2024||nea_mestia_launch_2024,nea_batumi_launch_2024||nea_mestia_launch_2024,nea_network_expansion_2026,nea_network_expansion_2026||nea_batumi_launch_2024||nea_mestia_launch_2024,city_launch_current_network_method_context_keep_open,"Official NEA sources support launch/current network and method context at the city or network level, but not station-code status or grade closure.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T04:44:54Z,ai-first,computed_georgia_station_network_launch_source_scan,air_monitoring_georgia_station_network_launch_source_scan_v1,GEO-network-launch-ORN07,GEO-method-classification-ORN07,ORN07,Telavi-Kvirike Didi Street №43,Telavi,True,True,True,True,True,False,True,False,False,False,False,False,False,nea_network_expansion_2026||nea_batumi_launch_2024||nea_telavi_launch_2024,nea_batumi_launch_2024||nea_telavi_launch_2024,nea_network_expansion_2026,nea_network_expansion_2026||nea_batumi_launch_2024||nea_telavi_launch_2024,city_launch_current_network_method_context_keep_open,"Official NEA sources support launch/current network and method context at the city or network level, but not station-code status or grade closure.","This scan records official Georgia NEA network and station-launch source context. It does not certify station-code verification, current station status, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
