generated_at,attestation_chain,status,method,iso3,iso2,country,source_name,source_url,retrieval_url,extraction_level,source_station_id,source_station_name,source_station_type,coordinate_available,pm25_signal,grade_evidence_category,grade_evidence_strength,explicit_method_standard_signal,automatic_or_official_portal_signal,sensor_under_test_signal,plan_only_signal,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,evidence_basis,next_validation_step,non_claim
2026-06-19T07:37:05Z,ai-first,computed,air_monitoring_monitor_grade_evidence_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,station_coordinates,CAMS-1,"DoE, Agargaon, Dhaka",CAMS,True,True,method_standard_signal,source_specific_method_standard,True,True,False,False,False,False,Bangladesh DoE report text states that criteria pollutants at the monitoring sites are measured using USEPA Federal Equivalent Methods.,Confirm whether the method-standard statement applies to each active station and current equipment.,"This monitor-grade evidence audit separates public source language from validated monitor classification. It does not certify reference-grade status for every official row, does not prove low-cost rows are invalid, and does not compute station-radius population coverage."
2026-06-19T07:37:05Z,ai-first,computed,air_monitoring_monitor_grade_evidence_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,station_coordinates,CAMS-2,"BARC, Farmgate",CAMS,True,True,method_standard_signal,source_specific_method_standard,True,True,False,False,False,False,Bangladesh DoE report text states that criteria pollutants at the monitoring sites are measured using USEPA Federal Equivalent Methods.,Confirm whether the method-standard statement applies to each active station and current equipment.,"This monitor-grade evidence audit separates public source language from validated monitor classification. It does not certify reference-grade status for every official row, does not prove low-cost rows are invalid, and does not compute station-radius population coverage."
2026-06-19T07:37:05Z,ai-first,computed,air_monitoring_monitor_grade_evidence_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,station_coordinates,CAMS-3,"Darus-Salam, Mirpur",CAMS,True,True,method_standard_signal,source_specific_method_standard,True,True,False,False,False,False,Bangladesh DoE report text states that criteria pollutants at the monitoring sites are measured using USEPA Federal Equivalent Methods.,Confirm whether the method-standard statement applies to each active station and current equipment.,"This monitor-grade evidence audit separates public source language from validated monitor classification. It does not certify reference-grade status for every official row, does not prove low-cost rows are invalid, and does not compute station-radius population coverage."
2026-06-19T07:37:05Z,ai-first,computed,air_monitoring_monitor_grade_evidence_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,station_coordinates,CAMS-4,Gazipur,CAMS,True,True,method_standard_signal,source_specific_method_standard,True,True,False,False,False,False,Bangladesh DoE report text states that criteria pollutants at the monitoring sites are measured using USEPA Federal Equivalent Methods.,Confirm whether the method-standard statement applies to each active station and current equipment.,"This monitor-grade evidence audit separates public source language from validated monitor classification. It does not certify reference-grade status for every official row, does not prove low-cost rows are invalid, and does not compute station-radius population coverage."
2026-06-19T07:37:05Z,ai-first,computed,air_monitoring_monitor_grade_evidence_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,station_coordinates,CAMS-5,Narayanganj,CAMS,True,True,method_standard_signal,source_specific_method_standard,True,True,False,False,False,False,Bangladesh DoE report text states that criteria pollutants at the monitoring sites are measured using USEPA Federal Equivalent Methods.,Confirm whether the method-standard statement applies to each active station and current equipment.,"This monitor-grade evidence audit separates public source language from validated monitor classification. It does not certify reference-grade status for every official row, does not prove low-cost rows are invalid, and does not compute station-radius population coverage."
2026-06-19T07:37:05Z,ai-first,computed,air_monitoring_monitor_grade_evidence_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,station_coordinates,CAMS-6,"TV Station, Khulshi",CAMS,True,True,method_standard_signal,source_specific_method_standard,True,True,False,False,False,False,Bangladesh DoE report text states that criteria pollutants at the monitoring sites are measured using USEPA Federal Equivalent Methods.,Confirm whether the method-standard statement applies to each active station and current equipment.,"This monitor-grade evidence audit separates public source language from validated monitor classification. It does not certify reference-grade status for every official row, does not prove low-cost rows are invalid, and does not compute station-radius population coverage."
2026-06-19T07:37:05Z,ai-first,computed,air_monitoring_monitor_grade_evidence_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,station_coordinates,CAMS-7,Agrabad,CAMS,True,True,method_standard_signal,source_specific_method_standard,True,True,False,False,False,False,Bangladesh DoE report text states that criteria pollutants at the monitoring sites are measured using USEPA Federal Equivalent Methods.,Confirm whether the method-standard statement applies to each active station and current equipment.,"This monitor-grade evidence audit separates public source language from validated monitor classification. It does not certify reference-grade status for every official row, does not prove low-cost rows are invalid, and does not compute station-radius population coverage."
2026-06-19T07:37:05Z,ai-first,computed,air_monitoring_monitor_grade_evidence_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,station_coordinates,CAMS-8,Boyra,CAMS,True,True,method_standard_signal,source_specific_method_standard,True,True,False,False,False,False,Bangladesh DoE report text states that criteria pollutants at the monitoring sites are measured using USEPA Federal Equivalent Methods.,Confirm whether the method-standard statement applies to each active station and current equipment.,"This monitor-grade evidence audit separates public source language from validated monitor classification. It does not certify reference-grade status for every official row, does not prove low-cost rows are invalid, and does not compute station-radius population coverage."
2026-06-19T07:37:05Z,ai-first,computed,air_monitoring_monitor_grade_evidence_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,station_coordinates,CAMS-9,Sapura,CAMS,True,True,method_standard_signal,source_specific_method_standard,True,True,False,False,False,False,Bangladesh DoE report text states that criteria pollutants at the monitoring sites are measured using USEPA Federal Equivalent Methods.,Confirm whether the method-standard statement applies to each active station and current equipment.,"This monitor-grade evidence audit separates public source language from validated monitor classification. It does not certify reference-grade status for every official row, does not prove low-cost rows are invalid, and does not compute station-radius population coverage."
2026-06-19T07:37:05Z,ai-first,computed,air_monitoring_monitor_grade_evidence_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,station_coordinates,CAMS-10,Red Crecent Campus,CAMS,True,True,method_standard_signal,source_specific_method_standard,True,True,False,False,False,False,Bangladesh DoE report text states that criteria pollutants at the monitoring sites are measured using USEPA Federal Equivalent Methods.,Confirm whether the method-standard statement applies to each active station and current equipment.,"This monitor-grade evidence audit separates public source language from validated monitor classification. It does not certify reference-grade status for every official row, does not prove low-cost rows are invalid, and does not compute station-radius population coverage."
