generated_at,attestation_chain,status,method,georgia_report_verification_scan_id,method_classification_audit_id,source_station_id,source_station_name,report_month,monthly_report_url,monthly_report_retrieved,station_code_in_monthly_report,station_name_or_alias_in_monthly_report,pm25_column_in_monthly_report,monthly_report_not_verified_label_present,monthly_report_verified_label_without_not_verified,aqi_note_live_data_unverified_caution,aqi_note_verified_reports_claim,network_catalog_instrument_context,current_measurement_recent_from_prior_audit,verified_report_closure_available,station_method_classified,current_status_confirmed,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,report_verification_decision,reader_use,non_claim
2026-06-19T16:02:05Z,ai-first,computed_georgia_report_verification_source_scan,air_monitoring_georgia_report_verification_source_scan_v1,GEO-report-verification-01005,GEO-method-classification-01005,01005,Tazakendi (working in test mode),2026-05,https://air.gov.ge/en/reports_page?date_from=2026-05&report_type=monthly&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,monthly_report_pm25_present_but_not_verified_keep_open,"The official monthly report page exposes the target station code and PM2.5 columns, but the same page carries a Not Verified Data label. Keep the row out of verified grade/status closure.","This scan checks whether official air.gov.ge report pages provide verified station-code PM2.5 evidence for the 16 Georgia target rows. It does not certify station method, current status, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T16:02:05Z,ai-first,computed_georgia_report_verification_source_scan,air_monitoring_georgia_report_verification_source_scan_v1,GEO-report-verification-AGMS,GEO-method-classification-AGMS,AGMS,Tbilisi - Davit Agmashenebeli Ave. № 73a,2026-05,https://air.gov.ge/en/reports_page?date_from=2026-05&report_type=monthly&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,monthly_report_pm25_present_but_not_verified_keep_open,"The official monthly report page exposes the target station code and PM2.5 columns, but the same page carries a Not Verified Data label. Keep the row out of verified grade/status closure.","This scan checks whether official air.gov.ge report pages provide verified station-code PM2.5 evidence for the 16 Georgia target rows. It does not certify station method, current status, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T16:02:05Z,ai-first,computed_georgia_report_verification_source_scan,air_monitoring_georgia_report_verification_source_scan_v1,GEO-report-verification-BTUM,GEO-method-classification-BTUM,BTUM,Batumi - T. Abuseridze Street №1,2026-05,https://air.gov.ge/en/reports_page?date_from=2026-05&report_type=monthly&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,monthly_report_pm25_present_but_not_verified_keep_open,"The official monthly report page exposes the target station code and PM2.5 columns, but the same page carries a Not Verified Data label. Keep the row out of verified grade/status closure.","This scan checks whether official air.gov.ge report pages provide verified station-code PM2.5 evidence for the 16 Georgia target rows. It does not certify station method, current status, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T16:02:05Z,ai-first,computed_georgia_report_verification_source_scan,air_monitoring_georgia_report_verification_source_scan_v1,GEO-report-verification-KUTS,GEO-method-classification-KUTS,KUTS,Kutaisi - Lado Asatiani St.№98,2026-05,https://air.gov.ge/en/reports_page?date_from=2026-05&report_type=monthly&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,monthly_report_pm25_present_but_not_verified_keep_open,"The official monthly report page exposes the target station code and PM2.5 columns, but the same page carries a Not Verified Data label. Keep the row out of verified grade/status closure.","This scan checks whether official air.gov.ge report pages provide verified station-code PM2.5 evidence for the 16 Georgia target rows. It does not certify station method, current status, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T16:02:05Z,ai-first,computed_georgia_report_verification_source_scan,air_monitoring_georgia_report_verification_source_scan_v1,GEO-report-verification-KZBG,GEO-method-classification-KZBG,KZBG,Tbilisi - Kazbegi Ave. near Vaso Godziashvili Garden,2026-05,https://air.gov.ge/en/reports_page?date_from=2026-05&report_type=monthly&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,monthly_report_pm25_present_but_not_verified_keep_open,"The official monthly report page exposes the target station code and PM2.5 columns, but the same page carries a Not Verified Data label. Keep the row out of verified grade/status closure.","This scan checks whether official air.gov.ge report pages provide verified station-code PM2.5 evidence for the 16 Georgia target rows. It does not certify station method, current status, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T16:02:05Z,ai-first,computed_georgia_report_verification_source_scan,air_monitoring_georgia_report_verification_source_scan_v1,GEO-report-verification-ORN01,GEO-method-classification-ORN01,ORN01,Tbilisi - Marshal Gelovani Avenue №34,2026-05,https://air.gov.ge/en/reports_page?date_from=2026-05&report_type=monthly&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,monthly_report_pm25_present_but_not_verified_keep_open,"The official monthly report page exposes the target station code and PM2.5 columns, but the same page carries a Not Verified Data label. Keep the row out of verified grade/status closure.","This scan checks whether official air.gov.ge report pages provide verified station-code PM2.5 evidence for the 16 Georgia target rows. It does not certify station method, current status, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T16:02:05Z,ai-first,computed_georgia_report_verification_source_scan,air_monitoring_georgia_report_verification_source_scan_v1,GEO-report-verification-ORN02,GEO-method-classification-ORN02,ORN02,Rustavi - Friendship Ave. №35a,2026-05,https://air.gov.ge/en/reports_page?date_from=2026-05&report_type=monthly&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,monthly_report_pm25_present_but_not_verified_keep_open,"The official monthly report page exposes the target station code and PM2.5 columns, but the same page carries a Not Verified Data label. Keep the row out of verified grade/status closure.","This scan checks whether official air.gov.ge report pages provide verified station-code PM2.5 evidence for the 16 Georgia target rows. It does not certify station method, current status, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T16:02:05Z,ai-first,computed_georgia_report_verification_source_scan,air_monitoring_georgia_report_verification_source_scan_v1,GEO-report-verification-ORN03,GEO-method-classification-ORN03,ORN03,"Batumi - Batumi Central Park, 6 May Park",2026-05,https://air.gov.ge/en/reports_page?date_from=2026-05&report_type=monthly&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,monthly_report_pm25_present_but_not_verified_keep_open,"The official monthly report page exposes the target station code and PM2.5 columns, but the same page carries a Not Verified Data label. Keep the row out of verified grade/status closure.","This scan checks whether official air.gov.ge report pages provide verified station-code PM2.5 evidence for the 16 Georgia target rows. It does not certify station method, current status, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T16:02:05Z,ai-first,computed_georgia_report_verification_source_scan,air_monitoring_georgia_report_verification_source_scan_v1,GEO-report-verification-ORN04,GEO-method-classification-ORN04,ORN04,Kutaisi-Ninoshvili Street and D.Aghmashenebeli Ave.,2026-05,https://air.gov.ge/en/reports_page?date_from=2026-05&report_type=monthly&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,monthly_report_pm25_present_but_not_verified_keep_open,"The official monthly report page exposes the target station code and PM2.5 columns, but the same page carries a Not Verified Data label. Keep the row out of verified grade/status closure.","This scan checks whether official air.gov.ge report pages provide verified station-code PM2.5 evidence for the 16 Georgia target rows. It does not certify station method, current status, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T16:02:05Z,ai-first,computed_georgia_report_verification_source_scan,air_monitoring_georgia_report_verification_source_scan_v1,GEO-report-verification-ORN05,GEO-method-classification-ORN05,ORN05,Zugdidi - Rustaveli Street №192,2026-05,https://air.gov.ge/en/reports_page?date_from=2026-05&report_type=monthly&station=01005%2CAGMS%2CBTUM%2CKUTS%2CKZBG%2CORN01%2CORN02%2CORN03%2CORN04%2CORN05%2CORN06%2CORN07%2CORN08%2CRST18%2CTSRT%2CVRKT,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,monthly_report_pm25_present_but_not_verified_keep_open,"The official monthly report page exposes the target station code and PM2.5 columns, but the same page carries a Not Verified Data label. Keep the row out of verified grade/status closure.","This scan checks whether official air.gov.ge report pages provide verified station-code PM2.5 evidence for the 16 Georgia target rows. It does not certify station method, current status, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
