generated_at,attestation_chain,status,method,bmkg_station_status_audit_id,bmkg_operation_maintenance_scan_id,source_station_id,source_station_name,exact_station_detail_url,detail_retrieved,detail_http_status,detail_final_url,detail_cache_path,detail_sha256,detail_timestamp_raw,detail_timestamp_iso,detail_value_ug_m3,detail_category_raw,page_station_name_match,page_station_code_in_url,page_public_measurement_display_found,page_pm25_method_text_found,page_bam_method_text_found,page_station_operational_status_found,page_station_inspection_log_found,page_station_calibration_certificate_found,page_station_calibration_status_found,page_status_or_certificate_link_count,source_level_daily_inspection_sop_context,source_level_maintenance_context,source_level_calibration_context,current_status_confirmed,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,audit_decision,reader_use,non_claim
2026-06-19T22:22:29Z,ai-first,computed_bmkg_station_specific_status_audit,air_monitoring_bmkg_station_specific_status_audit_v1,IDN-bmkg-station-status-pm25_bjb2,IDN-bmkg-operation-maintenance-pm25_bjb2,pm25_bjb2,Banjarbaru,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_bjb2,True,200,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_bjb2,.cache\bmkg-station-specific-status\https_www_bmkg_go_id_kualitas_udara_pm25_pm25_bjb2.html,fef8fb7ca37c315a62e2ae4b77c3960ddc3b4cbea76829a543c68919c090ac57,"20 Jun 2026, 4.00 WIB",2026-06-19T21:00:00Z,33.8,Sedang,True,True,True,True,True,False,False,False,False,0,True,True,True,False,False,False,False,False,False,detail_display_visible_but_no_station_status_certificate,"Use as a station-page closure check: the exact BMKG detail page shows a public PM2.5 display and method text where parsed, but it does not provide station-specific operational status, inspection-log, calibration certificate, or calibration-status evidence.","This audit records exact BMKG station-detail public display snapshots and station-page evidence gates for the 22 BMKG BAM rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T22:22:29Z,ai-first,computed_bmkg_station_specific_status_audit,air_monitoring_bmkg_station_specific_status_audit_v1,IDN-bmkg-station-status-pm25_btm2,IDN-bmkg-operation-maintenance-pm25_btm2,pm25_btm2,Batam,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_btm2,True,200,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_btm2,.cache\bmkg-station-specific-status\https_www_bmkg_go_id_kualitas_udara_pm25_pm25_btm2.html,a55e2210677303ce6a424667f84040d88483369e037ca053f51914b9e3651769,"20 Jun 2026, 4.00 WIB",2026-06-19T21:00:00Z,30,Sedang,True,True,True,True,True,False,False,False,False,0,True,True,True,False,False,False,False,False,False,detail_display_visible_but_no_station_status_certificate,"Use as a station-page closure check: the exact BMKG detail page shows a public PM2.5 display and method text where parsed, but it does not provide station-specific operational status, inspection-log, calibration certificate, or calibration-status evidence.","This audit records exact BMKG station-detail public display snapshots and station-page evidence gates for the 22 BMKG BAM rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T22:22:29Z,ai-first,computed_bmkg_station_specific_status_audit,air_monitoring_bmkg_station_specific_status_audit_v1,IDN-bmkg-station-status-pm25_idp2,IDN-bmkg-operation-maintenance-pm25_idp2,pm25_idp2,Indrapuri,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_idp2,True,200,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_idp2,.cache\bmkg-station-specific-status\https_www_bmkg_go_id_kualitas_udara_pm25_pm25_idp2.html,0ac1c00f6cce5b2174d989b7db1a88870650dd22818e3c10a09868194de8d60c,"20 Jun 2026, 4.00 WIB",2026-06-19T21:00:00Z,2,Baik,True,True,True,True,True,False,False,False,False,0,True,True,True,False,False,False,False,False,False,detail_display_visible_but_no_station_status_certificate,"Use as a station-page closure check: the exact BMKG detail page shows a public PM2.5 display and method text where parsed, but it does not provide station-specific operational status, inspection-log, calibration certificate, or calibration-status evidence.","This audit records exact BMKG station-detail public display snapshots and station-page evidence gates for the 22 BMKG BAM rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T22:22:29Z,ai-first,computed_bmkg_station_specific_status_audit,air_monitoring_bmkg_station_specific_status_audit_v1,IDN-bmkg-station-status-pm25_jm3,IDN-bmkg-operation-maintenance-pm25_jm3,pm25_jm3,Kota Jambi,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_jm3,True,200,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_jm3,.cache\bmkg-station-specific-status\https_www_bmkg_go_id_kualitas_udara_pm25_pm25_jm3.html,cef15380918d59a79ab4c1d7e67fc7d1dde0ef6abe880c0c5b6768f0a46b1c8b,"20 Jun 2026, 4.00 WIB",2026-06-19T21:00:00Z,31.7,Sedang,True,True,True,True,True,False,False,False,False,0,True,True,True,False,False,False,False,False,False,detail_display_visible_but_no_station_status_certificate,"Use as a station-page closure check: the exact BMKG detail page shows a public PM2.5 display and method text where parsed, but it does not provide station-specific operational status, inspection-log, calibration certificate, or calibration-status evidence.","This audit records exact BMKG station-detail public display snapshots and station-page evidence gates for the 22 BMKG BAM rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T22:22:29Z,ai-first,computed_bmkg_station_specific_status_audit,air_monitoring_bmkg_station_specific_status_audit_v1,IDN-bmkg-station-status-pm25_jm4,IDN-bmkg-operation-maintenance-pm25_jm4,pm25_jm4,Muaro Jambi,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_jm4,True,200,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_jm4,.cache\bmkg-station-specific-status\https_www_bmkg_go_id_kualitas_udara_pm25_pm25_jm4.html,a38cae082425c2be4a17dffb8de7aef43dca44f7d8c744c50b65b0be01ef73ae,"20 Jun 2026, 4.00 WIB",2026-06-19T21:00:00Z,45.2,Sedang,True,True,True,True,True,False,False,False,False,0,True,True,True,False,False,False,False,False,False,detail_display_visible_but_no_station_status_certificate,"Use as a station-page closure check: the exact BMKG detail page shows a public PM2.5 display and method text where parsed, but it does not provide station-specific operational status, inspection-log, calibration certificate, or calibration-status evidence.","This audit records exact BMKG station-detail public display snapshots and station-page evidence gates for the 22 BMKG BAM rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T22:22:29Z,ai-first,computed_bmkg_station_specific_status_audit,air_monitoring_bmkg_station_specific_status_audit_v1,IDN-bmkg-station-status-pm25_kmy3,IDN-bmkg-operation-maintenance-pm25_kmy3,pm25_kmy3,Kemayoran,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_kmy3,True,200,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_kmy3,.cache\bmkg-station-specific-status\https_www_bmkg_go_id_kualitas_udara_pm25_pm25_kmy3.html,faa33cff8d80a4188bf05f6354b343c2f9a07832a464da77936d8df68c0e5470,"20 Jun 2026, 4.00 WIB",2026-06-19T21:00:00Z,75.9,Tidak Sehat,True,True,True,True,True,False,False,False,False,0,True,True,True,False,False,False,False,False,False,detail_display_visible_but_no_station_status_certificate,"Use as a station-page closure check: the exact BMKG detail page shows a public PM2.5 display and method text where parsed, but it does not provide station-specific operational status, inspection-log, calibration certificate, or calibration-status evidence.","This audit records exact BMKG station-detail public display snapshots and station-page evidence gates for the 22 BMKG BAM rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T22:22:29Z,ai-first,computed_bmkg_station_specific_status_audit,air_monitoring_bmkg_station_specific_status_audit_v1,IDN-bmkg-station-status-pm25_ktb2,IDN-bmkg-operation-maintenance-pm25_ktb2,pm25_ktb2,Kototabang,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_ktb2,True,200,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_ktb2,.cache\bmkg-station-specific-status\https_www_bmkg_go_id_kualitas_udara_pm25_pm25_ktb2.html,6a0fc866de7284ff3f95633efe17bbfef65076b4673c4e6a8cc552e3339d79a0,"20 Jun 2026, 4.00 WIB",2026-06-19T21:00:00Z,1.4,Baik,True,True,True,True,True,False,False,False,False,0,True,True,True,False,False,False,False,False,False,detail_display_visible_but_no_station_status_certificate,"Use as a station-page closure check: the exact BMKG detail page shows a public PM2.5 display and method text where parsed, but it does not provide station-specific operational status, inspection-log, calibration certificate, or calibration-status evidence.","This audit records exact BMKG station-detail public display snapshots and station-page evidence gates for the 22 BMKG BAM rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T22:22:29Z,ai-first,computed_bmkg_station_specific_status_audit,air_monitoring_bmkg_station_specific_status_audit_v1,IDN-bmkg-station-status-pm25_mdn2,IDN-bmkg-operation-maintenance-pm25_mdn2,pm25_mdn2,Medan,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_mdn2,True,200,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_mdn2,.cache\bmkg-station-specific-status\https_www_bmkg_go_id_kualitas_udara_pm25_pm25_mdn2.html,08d1eae4959858a5e01da481fda04bdfb3d5c104cbea88d90725a35e3dcb631f,"20 Jun 2026, 4.00 WIB",2026-06-19T21:00:00Z,10.6,Baik,True,True,True,True,True,False,False,False,False,0,True,True,True,False,False,False,False,False,False,detail_display_visible_but_no_station_status_certificate,"Use as a station-page closure check: the exact BMKG detail page shows a public PM2.5 display and method text where parsed, but it does not provide station-specific operational status, inspection-log, calibration certificate, or calibration-status evidence.","This audit records exact BMKG station-detail public display snapshots and station-page evidence gates for the 22 BMKG BAM rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T22:22:29Z,ai-first,computed_bmkg_station_specific_status_audit,air_monitoring_bmkg_station_specific_status_audit_v1,IDN-bmkg-station-status-pm25_mrs,IDN-bmkg-operation-maintenance-pm25_mrs,pm25_mrs,Maros,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_mrs,True,200,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_mrs,.cache\bmkg-station-specific-status\https_www_bmkg_go_id_kualitas_udara_pm25_pm25_mrs.html,687e7fe55314ddd519734e292156ed2b330862d695f2d63fc90dfaed8f76225d,"20 Jun 2026, 4.00 WIB",2026-06-19T21:00:00Z,12.8,Baik,True,True,True,True,True,False,False,False,False,0,True,True,True,False,False,False,False,False,False,detail_display_visible_but_no_station_status_certificate,"Use as a station-page closure check: the exact BMKG detail page shows a public PM2.5 display and method text where parsed, but it does not provide station-specific operational status, inspection-log, calibration certificate, or calibration-status evidence.","This audit records exact BMKG station-detail public display snapshots and station-page evidence gates for the 22 BMKG BAM rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
2026-06-19T22:22:29Z,ai-first,computed_bmkg_station_specific_status_audit,air_monitoring_bmkg_station_specific_status_audit_v1,IDN-bmkg-station-status-pm25_msg,IDN-bmkg-operation-maintenance-pm25_msg,pm25_msg,Pesawaran,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_msg,True,200,https://www.bmkg.go.id/kualitas-udara/pm25/pm25_msg,.cache\bmkg-station-specific-status\https_www_bmkg_go_id_kualitas_udara_pm25_pm25_msg.html,8cf0ccb15bbaceb545a16146194ee0fedfe71526b6995f23b5172fdb9b0083c6,"20 Jun 2026, 4.00 WIB",2026-06-19T21:00:00Z,65.7,Tidak Sehat,True,True,True,True,True,False,False,False,False,0,True,True,True,False,False,False,False,False,False,detail_display_visible_but_no_station_status_certificate,"Use as a station-page closure check: the exact BMKG detail page shows a public PM2.5 display and method text where parsed, but it does not provide station-specific operational status, inspection-log, calibration certificate, or calibration-status evidence.","This audit records exact BMKG station-detail public display snapshots and station-page evidence gates for the 22 BMKG BAM rows. It does not certify station current status, station-specific inspection logs, station-specific calibration certificates, complete monitor-grade status, same-station OpenAQ joins, or station-radius coverage."
