generated_at,attestation_chain,status,method,method_classification_audit_id,decision_ledger_id,iso3,country,source_station_id,source_station_name,decision_lane,row_evidence_lane,exact_station_detail_url,exact_station_detail_recent_within_30_days,exact_station_detail_method_terms,bmkg_regulation_bam_method_context,bmkg_regulation_calibration_context,bmkg_bam1020_source_level_model_context,georgia_network_instrument_catalog_context,georgia_live_data_unverified_caution,uzbekistan_instrument_hint_context,raw_value_or_blocker_caution,station_method_class,station_method_classified,instrument_model_candidate,instrument_model_station_specific,current_measurement_recent,current_status_confirmed,calibration_or_maintenance_context_present,calibration_status_available,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,audit_decision,reader_use,non_claim
2026-06-19T15:26:50Z,ai-first,computed_station_method_classification_audit,air_monitoring_station_method_classification_audit_v1,GEO-method-classification-01005,GEO-blocked_test_mode_or_stale_sentinel-01005,GEO,Georgia,01005,Tazakendi (working in test mode),blocked_test_mode_or_stale_sentinel,row_level_pm25_portal_or_api,,False,,False,False,False,True,True,False,True,,False,,False,True,False,False,False,False,False,georgia_source_level_instrument_catalog_keep_not_station_classified,"Use as source-level method context only. Georgia publishes an instrument catalog and exact station-code PM2.5 rows, but not a station-code method table; the portal also warns live automatic-station data are not verified.","This audit classifies public method evidence for exact station rows. It does not certify current station status, complete monitor-grade status, same-station OpenAQ joins, calibration status, or station-radius coverage."
2026-06-19T15:26:50Z,ai-first,computed_station_method_classification_audit,air_monitoring_station_method_classification_audit_v1,GEO-method-classification-AGMS,GEO-station_code_context_not_grade_ready-AGMS,GEO,Georgia,AGMS,Tbilisi - Davit Agmashenebeli Ave. № 73a,station_code_context_not_grade_ready,row_level_pm25_portal_or_api,,False,,False,False,False,True,True,False,False,,False,,False,True,False,False,False,False,False,georgia_source_level_instrument_catalog_keep_not_station_classified,"Use as source-level method context only. Georgia publishes an instrument catalog and exact station-code PM2.5 rows, but not a station-code method table; the portal also warns live automatic-station data are not verified.","This audit classifies public method evidence for exact station rows. It does not certify current station status, complete monitor-grade status, same-station OpenAQ joins, calibration status, or station-radius coverage."
2026-06-19T15:26:50Z,ai-first,computed_station_method_classification_audit,air_monitoring_station_method_classification_audit_v1,GEO-method-classification-BTUM,GEO-station_code_context_not_grade_ready-BTUM,GEO,Georgia,BTUM,Batumi - T. Abuseridze Street №1,station_code_context_not_grade_ready,row_level_pm25_portal_or_api,,False,,False,False,False,True,True,False,False,,False,,False,True,False,False,False,False,False,georgia_source_level_instrument_catalog_keep_not_station_classified,"Use as source-level method context only. Georgia publishes an instrument catalog and exact station-code PM2.5 rows, but not a station-code method table; the portal also warns live automatic-station data are not verified.","This audit classifies public method evidence for exact station rows. It does not certify current station status, complete monitor-grade status, same-station OpenAQ joins, calibration status, or station-radius coverage."
2026-06-19T15:26:50Z,ai-first,computed_station_method_classification_audit,air_monitoring_station_method_classification_audit_v1,GEO-method-classification-KUTS,GEO-station_code_context_not_grade_ready-KUTS,GEO,Georgia,KUTS,Kutaisi - Lado Asatiani St.№98,station_code_context_not_grade_ready,row_level_pm25_portal_or_api,,False,,False,False,False,True,True,False,False,,False,,False,False,False,False,False,False,False,georgia_source_level_instrument_catalog_keep_not_station_classified,"Use as source-level method context only. Georgia publishes an instrument catalog and exact station-code PM2.5 rows, but not a station-code method table; the portal also warns live automatic-station data are not verified.","This audit classifies public method evidence for exact station rows. It does not certify current station status, complete monitor-grade status, same-station OpenAQ joins, calibration status, or station-radius coverage."
2026-06-19T15:26:50Z,ai-first,computed_station_method_classification_audit,air_monitoring_station_method_classification_audit_v1,GEO-method-classification-KZBG,GEO-station_code_context_not_grade_ready-KZBG,GEO,Georgia,KZBG,Tbilisi - Kazbegi Ave. near Vaso Godziashvili Garden,station_code_context_not_grade_ready,row_level_pm25_portal_or_api,,False,,False,False,False,True,True,False,False,,False,,False,True,False,False,False,False,False,georgia_source_level_instrument_catalog_keep_not_station_classified,"Use as source-level method context only. Georgia publishes an instrument catalog and exact station-code PM2.5 rows, but not a station-code method table; the portal also warns live automatic-station data are not verified.","This audit classifies public method evidence for exact station rows. It does not certify current station status, complete monitor-grade status, same-station OpenAQ joins, calibration status, or station-radius coverage."
2026-06-19T15:26:50Z,ai-first,computed_station_method_classification_audit,air_monitoring_station_method_classification_audit_v1,GEO-method-classification-ORN01,GEO-station_code_context_not_grade_ready-ORN01,GEO,Georgia,ORN01,Tbilisi - Marshal Gelovani Avenue №34,station_code_context_not_grade_ready,row_level_pm25_portal_or_api,,False,,False,False,False,True,True,False,False,,False,,False,True,False,False,False,False,False,georgia_source_level_instrument_catalog_keep_not_station_classified,"Use as source-level method context only. Georgia publishes an instrument catalog and exact station-code PM2.5 rows, but not a station-code method table; the portal also warns live automatic-station data are not verified.","This audit classifies public method evidence for exact station rows. It does not certify current station status, complete monitor-grade status, same-station OpenAQ joins, calibration status, or station-radius coverage."
2026-06-19T15:26:50Z,ai-first,computed_station_method_classification_audit,air_monitoring_station_method_classification_audit_v1,GEO-method-classification-ORN02,GEO-station_code_context_not_grade_ready-ORN02,GEO,Georgia,ORN02,Rustavi - Friendship Ave. №35a,station_code_context_not_grade_ready,row_level_pm25_portal_or_api,,False,,False,False,False,True,True,False,False,,False,,False,True,False,False,False,False,False,georgia_source_level_instrument_catalog_keep_not_station_classified,"Use as source-level method context only. Georgia publishes an instrument catalog and exact station-code PM2.5 rows, but not a station-code method table; the portal also warns live automatic-station data are not verified.","This audit classifies public method evidence for exact station rows. It does not certify current station status, complete monitor-grade status, same-station OpenAQ joins, calibration status, or station-radius coverage."
2026-06-19T15:26:50Z,ai-first,computed_station_method_classification_audit,air_monitoring_station_method_classification_audit_v1,GEO-method-classification-ORN03,GEO-station_code_context_not_grade_ready-ORN03,GEO,Georgia,ORN03,"Batumi - Batumi Central Park, 6 May Park",station_code_context_not_grade_ready,row_level_pm25_portal_or_api,,False,,False,False,False,True,True,False,False,,False,,False,True,False,False,False,False,False,georgia_source_level_instrument_catalog_keep_not_station_classified,"Use as source-level method context only. Georgia publishes an instrument catalog and exact station-code PM2.5 rows, but not a station-code method table; the portal also warns live automatic-station data are not verified.","This audit classifies public method evidence for exact station rows. It does not certify current station status, complete monitor-grade status, same-station OpenAQ joins, calibration status, or station-radius coverage."
2026-06-19T15:26:50Z,ai-first,computed_station_method_classification_audit,air_monitoring_station_method_classification_audit_v1,GEO-method-classification-ORN04,GEO-station_code_context_not_grade_ready-ORN04,GEO,Georgia,ORN04,Kutaisi-Ninoshvili Street and D.Aghmashenebeli Ave.,station_code_context_not_grade_ready,row_level_pm25_portal_or_api,,False,,False,False,False,True,True,False,False,,False,,False,True,False,False,False,False,False,georgia_source_level_instrument_catalog_keep_not_station_classified,"Use as source-level method context only. Georgia publishes an instrument catalog and exact station-code PM2.5 rows, but not a station-code method table; the portal also warns live automatic-station data are not verified.","This audit classifies public method evidence for exact station rows. It does not certify current station status, complete monitor-grade status, same-station OpenAQ joins, calibration status, or station-radius coverage."
2026-06-19T15:26:50Z,ai-first,computed_station_method_classification_audit,air_monitoring_station_method_classification_audit_v1,GEO-method-classification-ORN05,GEO-station_code_context_not_grade_ready-ORN05,GEO,Georgia,ORN05,Zugdidi - Rustaveli Street №192,station_code_context_not_grade_ready,row_level_pm25_portal_or_api,,False,,False,False,False,True,True,False,False,,False,,False,True,False,False,False,False,False,georgia_source_level_instrument_catalog_keep_not_station_classified,"Use as source-level method context only. Georgia publishes an instrument catalog and exact station-code PM2.5 rows, but not a station-code method table; the portal also warns live automatic-station data are not verified.","This audit classifies public method evidence for exact station rows. It does not certify current station status, complete monitor-grade status, same-station OpenAQ joins, calibration status, or station-radius coverage."
